"vol" "age" "siteclass" "species" "step0.nomgmt" "step0.finalfell" "step0.thin" "step1.nomgmt" "step1.finalfell" "step1.thin" "step2.nomgmt" "step2.finalfell" "step2.thin" "step3.nomgmt" "step3.finalfell" "step3.thin" "step4.nomgmt" "step4.finalfell" "step4.thin" "step5.nomgmt" "step5.finalfell" "step5.thin" "step6.nomgmt" "step6.finalfell" "step6.thin"
"3" "1" "1" "I" "manty" 309890.005619736 0 0 213534.161684218 0 0 102908.762505305 0 0 85233.6642193983 0 0 82115.1554483869 0 0 84227.574385267 0 0 82933.7238380284 0 0
"903" "2" "1" "I" "manty" 3531.88069282005 0 444.522418238381 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1203" "3" "1" "I" "manty" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1503" "4" "1" "I" "manty" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1803" "5" "1" "I" "manty" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2103" "6" "1" "I" "manty" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2403" "7" "1" "I" "manty" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2703" "8" "1" "I" "manty" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3003" "9" "1" "I" "manty" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"303" "10" "1" "I" "manty" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"603" "11" "1" "I" "manty" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"135" "1" "2" "I" "manty" 32067.4767819003 0 0 173443.315901131 0 0 119342.418308501 0 0 57514.8280052744 0 0 47636.3666076083 0 0 45893.4587032555 0 0 47074.0715963848 0 0
"1035" "2" "2" "I" "manty" 27425.3136344226 0 3451.7493080961 85585.4706286667 0 10771.7852551661 57380.7715313912 0 7221.94251164011 27653.5807822057 0 3480.47900577338 22903.9389987128 0 2882.68920623218 22065.9351969011 0 2777.21806808429 22633.5831434389 0 2848.66222485209
"1335" "3" "2" "I" "manty" 9295.93968939105 0 0 38669.1094096952 0 0 26136.9759105394 0 0 12596.2226623122 0 0 10432.7579760464 0 0 10051.0467407956 0 0 10309.6107215223 0 0
"1635" "4" "2" "I" "manty" 2836.97865369528 0 0 5358.75032438454 0 0 3452.05342214671 0 0 1663.65204973934 0 0 1377.91143079859 0 0 1327.49673935037 0 0 1361.64669906898 0 0
"1935" "5" "2" "I" "manty" 283.873164374142 0 0 37.9772117507532 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2235" "6" "2" "I" "manty" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2535" "7" "2" "I" "manty" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
