"vol" "age" "ownership" "step0.nomgmt" "step0.thin" "step0.finalfell" "step1.nomgmt" "step1.thin" "step1.finalfell" "step2.nomgmt" "step2.thin" "step2.finalfell" "step3.nomgmt" "step3.thin" "step3.finalfell" "step4.nomgmt" "step4.thin" "step4.finalfell" "step5.nomgmt" "step5.thin" "step5.finalfell"
"2" "1" "1" "pub" 0 0 0 4299.6220708244 0 0 4228.90719509637 0 0 4172.52878421522 0 0 4110.48521586267 0 0 4072.99071125879 0 0
"126" "2" "1" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"188" "3" "1" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"250" "4" "1" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"312" "5" "1" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"374" "6" "1" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"436" "7" "1" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"498" "8" "1" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"560" "9" "1" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"64" "10" "1" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"24" "1" "2" "pub" 6626.62 0 0 0 0 0 4140.37680894201 0 0 4072.28100268539 0 0 4017.99068109614 0 0 3958.24502268257 0 0
"148" "2" "2" "pub" 529.09 0 0 0 0 0 159.245261882385 0 0 156.626192410977 0 0 154.538103119082 0 0 152.240193180099 0 0
"210" "3" "2" "pub" 288.06 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"272" "4" "2" "pub" 201.95 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"334" "5" "2" "pub" 241.77 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"396" "6" "2" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"458" "7" "2" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"520" "8" "2" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"582" "9" "2" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"86" "10" "2" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"46" "1" "3" "pub" 0 0 0 5522.18333112446 1104.43666887554 0 0 0 0 3450.31400607155 690.062802870461 0 3393.5675008804 678.713501804992 0 3348.32556624079 669.665114855354 0
"170" "2" "3" "pub" 0 0 0 440.90833315697 88.18166684303 0 0 0 0 132.704384848906 26.5408770334793 0 130.521826956938 26.1043654540382 0 128.781752547723 25.7563505713598 0
"232" "3" "3" "pub" 0 0 0 240.04999990398 48.01000009602 0 0 0 0 0 0 0 0 0 0 0 0 0
"294" "4" "3" "pub" 0 0 0 168.29166659935 33.65833340065 0 0 0 0 0 0 0 0 0 0 0 0 0
"356" "5" "3" "pub" 0 0 0 201.47499991941 40.29500008059 0 0 0 0 0 0 0 0 0 0 0 0 0
"418" "6" "3" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"480" "7" "3" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"542" "8" "3" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"604" "9" "3" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"108" "10" "3" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"52" "1" "4" "pub" 955.8175 434.4625 0 0 0 0 3693.14091676367 1678.70041671076 0 0 0 0 2291.80472728652 1041.72942149387 0 2254.11195247669 1024.59634203486 0
"176" "2" "4" "pub" 164.511875 74.778125 0 0 0 0 1259.41658330235 572.462083319249 0 0 0 0 664.185446405253 301.902475638751 0 653.261744152067 296.937156432758 0
"238" "3" "4" "pub" 0 0 0 0 0 0 188.174479146933 85.5338541576969 0 0 0 0 0 0 0 0 0 0
"300" "4" "4" "pub" 0 0 0 0 0 0 143.403333342459 65.1833333374812 0 0 0 0 0 0 0 0 0 0
"362" "5" "4" "pub" 0 0 0 0 0 0 138.514062444594 62.9609374748156 0 0 0 0 0 0 0 0 0 0
"424" "6" "4" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"486" "7" "4" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"548" "8" "4" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"610" "9" "4" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"114" "10" "4" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"54" "1" "5" "pub" 998.565 332.855 0 693.974901315789 231.324967105263 0 0 0 0 2815.72267111279 938.574223704264 0 0 0 0 1722.04892735644 574.016309118813 0
"178" "2" "5" "pub" 651.36 217.12 0 354.708873355263 118.236291118421 0 0 0 0 1947.2870517993 649.095683933099 0 0 0 0 1072.15539392275 357.385131307584 0
"240" "3" "5" "pub" 383.595 127.865 0 173.493725328947 57.8312417763158 0 0 0 0 731.076147687242 243.692049229081 0 0 0 0 430.512231839109 143.504077279703 0
