"vol" "age" "ownership" "step0" "step1" "step2" "step3" "step4" "step5"
"2" "1" "1" "pub" 0 4299.6220708244 4228.90719509637 4172.52878421522 4110.48521586267 4072.99071125879
"126" "2" "1" "pub" 0 0 0 0 0 0
"188" "3" "1" "pub" 0 0 0 0 0 0
"250" "4" "1" "pub" 0 0 0 0 0 0
"312" "5" "1" "pub" 0 0 0 0 0 0
"374" "6" "1" "pub" 0 0 0 0 0 0
"436" "7" "1" "pub" 0 0 0 0 0 0
"498" "8" "1" "pub" 0 0 0 0 0 0
"560" "9" "1" "pub" 0 0 0 0 0 0
"64" "10" "1" "pub" 0 0 0 0 0 0
"24" "1" "2" "pub" 6626.62 0 4140.37680894201 4072.28100268539 4017.99068109614 3958.24502268257
"148" "2" "2" "pub" 529.09 0 159.245261882385 156.626192410977 154.538103119082 152.240193180099
"210" "3" "2" "pub" 288.06 0 0 0 0 0
"272" "4" "2" "pub" 201.95 0 0 0 0 0
"334" "5" "2" "pub" 241.77 0 0 0 0 0
"396" "6" "2" "pub" 0 0 0 0 0 0
"458" "7" "2" "pub" 0 0 0 0 0 0
"520" "8" "2" "pub" 0 0 0 0 0 0
"582" "9" "2" "pub" 0 0 0 0 0 0
"86" "10" "2" "pub" 0 0 0 0 0 0
"46" "1" "3" "pub" 0 6626.62 0 4140.37680894201 4072.28100268539 4017.99068109614
"170" "2" "3" "pub" 0 529.09 0 159.245261882385 156.626192410977 154.538103119082
"232" "3" "3" "pub" 0 288.06 0 0 0 0
"294" "4" "3" "pub" 0 201.95 0 0 0 0
"356" "5" "3" "pub" 0 241.77 0 0 0 0
"418" "6" "3" "pub" 0 0 0 0 0 0
"480" "7" "3" "pub" 0 0 0 0 0 0
"542" "8" "3" "pub" 0 0 0 0 0 0
"604" "9" "3" "pub" 0 0 0 0 0 0
"108" "10" "3" "pub" 0 0 0 0 0 0
"52" "1" "4" "pub" 1390.28 0 5371.84133347442 0 3333.5341487804 3278.70829451155
