"vol" "age" "ownership" "step0.nomgmt" "step0.thin" "step0.finalfell" "step1.nomgmt" "step1.thin" "step1.finalfell" "step2.nomgmt" "step2.thin" "step2.finalfell" "step3.nomgmt" "step3.thin" "step3.finalfell" "step4.nomgmt" "step4.thin" "step4.finalfell" "step5.nomgmt" "step5.thin" "step5.finalfell"
"2" "1" "1" "pub" 0 0 0 4637.77215310977 0 0 5108.32102762721 0 0 5275.24241830169 0 0 5210.41380057026 0 0 5365.65281324749 0 0
"70" "2" "1" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"104" "3" "1" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"138" "4" "1" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"172" "5" "1" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"206" "6" "1" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"240" "7" "1" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"274" "8" "1" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"308" "9" "1" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"36" "10" "1" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20" "1" "2" "pub" 1368.35 0 0 0 0 0 4637.77215310977 0 0 5108.32102762721 0 0 5275.24241830169 0 0 5210.41380057026 0 0
"88" "2" "2" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"122" "3" "2" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"156" "4" "2" "pub" 202.27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"190" "5" "2" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"224" "6" "2" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"258" "7" "2" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"292" "8" "2" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"326" "9" "2" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"54" "10" "2" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"22" "1" "3" "pub" 0 0 0 862.0605 95.7845 0 0 0 0 2921.79645645915 324.644050717684 0 3218.24224740514 357.582471933905 0 3323.40272353006 369.266969281118 0
"90" "2" "3" "pub" 190.305 21.145 0 246.303 27.367 0 0 0 0 834.798987559759 92.7554430621954 0 919.497784972898 102.166420552544 0 949.543635294303 105.504848366034 0
"124" "3" "3" "pub" 181.755 20.195 0 123.1515 13.6835 0 0 0 0 417.399493779879 46.3777215310977 0 459.748892486449 51.0832102762721 0 474.771817647152 52.7524241830169 0
"158" "4" "3" "pub" 0 0 0 182.043 20.227 0 0 0 0 0 0 0 0 0 0 0 0 0
"192" "5" "3" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"226" "6" "3" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"260" "7" "3" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"294" "8" "3" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"328" "9" "3" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"56" "10" "3" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"24" "1" "4" "pub" 526.711 92.949 0 9.62852678571429 1.69915178571429 0 448.623321428571 79.1688214285714 0 0 0 0 1520.52672734099 268.328246001351 0 1674.79953691492 295.552859455574 0
"92" "2" "4" "pub" 234.43 41.37 0 66.0606845238095 11.6577678571429 0 372.745055952381 65.7785392857143 0 0 0 0 1263.3512191364 222.944332788777 0 1391.53097326388 245.564289399508 0
"126" "3" "4" "pub" 0 0 0 53.4229553571428 9.42758035714285 0 130.348572619048 23.0026892857143 0 0 0 0 422.368535372497 74.5356238892641 0 465.222093587478 82.0980165154373 0
"160" "4" "4" "pub" 0 0 0 119.283333333333 21.05 0 302.062233333333 53.3051 0 0 0 0 499.333468484819 88.1176709090856 0 549.995897307863 97.058099524917 0
"194" "5" "4" "pub" 0 0 0 102.9945 18.1755 0 81.2478166666667 14.33785 0 0 0 0 236.526379808598 41.7399493779879 0 260.524372408988 45.9748892486449 0
"228" "6" "4" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"262" "7" "4" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"296" "8" "4" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"330" "9" "4" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
