"vol" "age" "ownership" "step0" "step1" "step2" "step3" "step4" "step5"
"2" "1" "1" "pub" 0 4637.77215310977 5108.32102762721 5275.24241830169 5210.41380057026 5365.65281324749
"70" "2" "1" "pub" 0 0 0 0 0 0
"104" "3" "1" "pub" 0 0 0 0 0 0
"138" "4" "1" "pub" 0 0 0 0 0 0
"172" "5" "1" "pub" 0 0 0 0 0 0
"206" "6" "1" "pub" 0 0 0 0 0 0
"240" "7" "1" "pub" 0 0 0 0 0 0
"274" "8" "1" "pub" 0 0 0 0 0 0
"308" "9" "1" "pub" 0 0 0 0 0 0
"36" "10" "1" "pub" 0 0 0 0 0 0
"20" "1" "2" "pub" 1368.35 0 4637.77215310977 5108.32102762721 5275.24241830169 5210.41380057026
"88" "2" "2" "pub" 0 0 0 0 0 0
"122" "3" "2" "pub" 0 0 0 0 0 0
"156" "4" "2" "pub" 202.27 0 0 0 0 0
"190" "5" "2" "pub" 0 0 0 0 0 0
"224" "6" "2" "pub" 0 0 0 0 0 0
"258" "7" "2" "pub" 0 0 0 0 0 0
"292" "8" "2" "pub" 0 0 0 0 0 0
"326" "9" "2" "pub" 0 0 0 0 0 0
"54" "10" "2" "pub" 0 0 0 0 0 0
"22" "1" "3" "pub" 0 957.845 0 3246.44050717684 3575.82471933905 3692.66969281118
"90" "2" "3" "pub" 211.45 273.67 0 927.554430621954 1021.66420552544 1055.04848366034
"124" "3" "3" "pub" 201.95 136.835 0 463.777215310977 510.832102762721 527.524241830169
"158" "4" "3" "pub" 0 202.27 0 0 0 0
"192" "5" "3" "pub" 0 0 0 0 0 0
"226" "6" "3" "pub" 0 0 0 0 0 0
"260" "7" "3" "pub" 0 0 0 0 0 0
"294" "8" "3" "pub" 0 0 0 0 0 0
"328" "9" "3" "pub" 0 0 0 0 0 0
"56" "10" "3" "pub" 0 0 0 0 0 0
"24" "1" "4" "pub" 619.66 11.3276785714286 527.792142857143 0 1788.85497334234 1970.35239637049
"92" "2" "4" "pub" 275.8 77.7184523809524 438.523595238095 0 1486.29555192518 1637.09526266339
"126" "3" "4" "pub" 0 62.8505357142857 153.351261904762 0 496.904159261761 547.320110102915
"160" "4" "4" "pub" 0 140.333333333333 355.367333333333 0 587.451139393904 647.05399683278
"194" "5" "4" "pub" 0 121.17 95.5856666666667 0 278.266329186586 306.499261657632
"228" "6" "4" "pub" 0 0 0 0 0 0
"262" "7" "4" "pub" 0 0 0 0 0 0
"296" "8" "4" "pub" 0 0 0 0 0 0
"330" "9" "4" "pub" 0 0 0 0 0 0
"58" "10" "4" "pub" 0 0 0 0 0 0
"26" "1" "5" "pub" 678.02 289.200625 10.0561328125 259.6871734375 0 880.162196432363
"94" "2" "5" "pub" 0 183.290576923077 11.55315121337 178.834804784799 0 605.864199073215
"128" "3" "5" "pub" 637.94 232.141586538462 51.5626680689103 324.556253832799 0 1079.77963952246
"162" "4" "5" "pub" 633.86 108.198461538462 209.536048649267 590.879725137363 0 1413.80275624621
"196" "5" "5" "pub" 265.9 82.62875 130.691999255952 216.66204280754 0 658.163361835515
"230" "6" "5" "pub" 0 0 0 0 0 0
"264" "7" "5" "pub" 0 0 0 0 0 0
"298" "8" "5" "pub" 0 0 0 0 0 0
"332" "9" "5" "pub" 0 0 0 0 0 0
"60" "10" "5" "pub" 0 0 0 0 0 0
"28" "1" "6" "pub" 1069.68 326.454074074074 157.378516293997 5.984847552039 142.727506096359 0
