ownership vol age finalfell thin nomgmt
pub 1 1 0 0 1
pub 1 2 0 0 1
pub 1 3 0 0.166666667 0.833333333
pub 1 4 0 0.3125 0.6875
pub 1 5 0 0.25 0.75
pub 1 6 0 0.27 0.73
pub 1 7 0 0.3 0.7
pub 1 8 0 0.21875 0.78125
pub 1 9 0 0.3 0.7
pub 1 10 0 0.27 0.73
pub 1 11 0 0.25 0.75
pub 1 12 0 0.25 0.75
pub 1 13 0 0.220588235 0.779411765
pub 1 14 0 0.25 0.75
pub 1 15 0 0.381818182 0.618181818
pub 1 16 0 0.257142857 0.742857143
pub 1 17 0 0.291891892 0.708108108
pub 1 18 0 0.211764706 0.788235294
pub 1 19 0 0.305555556 0.694444444
pub 1 20 0 0.228571429 0.771428571
pub 1 21 0 0.346153846 0.653846154
pub 1 22 0.034482759 0.310344828 0.655172414
pub 1 23 0.060606061 0.303030303 0.636363636
pub 1 24 0.086956522 0.260869565 0.652173913
pub 1 25 0.1 0.289473684 0.610526316
pub 1 26 0.1 0.3 0.6
pub 1 27 0.1 0.3 0.6
pub 1 28 0.1 0.3 0.6
pub 1 29 0.1 0.210526316 0.689473684
pub 1 30 0.1 0.2 0.7
pub 1 31 0.1 0.2 0.7
pub 2 1 0 0 1
pub 2 2 0 0 1
pub 2 3 0 0.166666667 0.833333333
pub 2 4 0 0.3125 0.6875
pub 2 5 0 0.25 0.75
pub 2 6 0 0.27 0.73
pub 2 7 0 0.3 0.7
pub 2 8 0 0.21875 0.78125
pub 2 9 0 0.3 0.7
pub 2 10 0 0.27 0.73
pub 2 11 0 0.25 0.75
pub 2 12 0 0.25 0.75
pub 2 13 0 0.220588235 0.779411765
pub 2 14 0 0.25 0.75
pub 2 15 0 0.381818182 0.618181818
pub 2 16 0 0.257142857 0.742857143
pub 2 17 0 0.291891892 0.708108108
pub 2 18 0 0.211764706 0.788235294
pub 2 19 0 0.305555556 0.694444444
pub 2 20 0 0.228571429 0.771428571
pub 2 21 0 0.346153846 0.653846154
pub 2 22 0.034482759 0.310344828 0.655172414
pub 2 23 0.060606061 0.303030303 0.636363636
pub 2 24 0.086956522 0.260869565 0.652173913
pub 2 25 0.1 0.289473684 0.610526316
pub 2 26 0.1 0.3 0.6
pub 2 27 0.1 0.3 0.6
pub 2 28 0.1 0.3 0.6
pub 2 29 0.1 0.210526316 0.689473684
pub 2 30 0.1 0.2 0.7
pub 2 31 0.1 0.2 0.7
pub 3 1 0 0 1
pub 3 2 0 0 1
pub 3 3 0 0.166666667 0.833333333
pub 3 4 0 0.3125 0.6875
pub 3 5 0 0.25 0.75
pub 3 6 0 0.27 0.73
pub 3 7 0 0.3 0.7
pub 3 8 0 0.21875 0.78125
pub 3 9 0 0.3 0.7
pub 3 10 0 0.27 0.73
pub 3 11 0 0.25 0.75
pub 3 12 0 0.25 0.75
pub 3 13 0 0.220588235 0.779411765
pub 3 14 0 0.25 0.75
pub 3 15 0 0.381818182 0.618181818
pub 3 16 0 0.257142857 0.742857143
pub 3 17 0 0.291891892 0.708108108
pub 3 18 0 0.211764706 0.788235294
pub 3 19 0 0.305555556 0.694444444
pub 3 20 0 0.228571429 0.771428571
pub 3 21 0 0.346153846 0.653846154
pub 3 22 0.034482759 0.310344828 0.655172414
pub 3 23 0.060606061 0.303030303 0.636363636
pub 3 24 0.086956522 0.260869565 0.652173913
pub 3 25 0.1 0.289473684 0.610526316
pub 3 26 0.1 0.3 0.6
pub 3 27 0.1 0.3 0.6
pub 3 28 0.1 0.3 0.6
pub 3 29 0.1 0.210526316 0.689473684
pub 3 30 0.1 0.2 0.7
pub 3 31 0.1 0.2 0.7
pub 4 1 0 0 1
pub 4 2 0 0 1
pub 4 3 0 0.166666667 0.833333333
pub 4 4 0 0.3125 0.6875
pub 4 5 0 0.25 0.75
pub 4 6 0 0.27 0.73
pub 4 7 0 0.3 0.7
pub 4 8 0 0.21875 0.78125
pub 4 9 0 0.3 0.7
pub 4 10 0 0.27 0.73
pub 4 11 0 0.25 0.75
pub 4 12 0 0.25 0.75
pub 4 13 0 0.220588235 0.779411765
pub 4 14 0 0.25 0.75
pub 4 15 0 0.381818182 0.618181818
pub 4 16 0 0.257142857 0.742857143
pub 4 17 0 0.291891892 0.708108108
pub 4 18 0 0.211764706 0.788235294
pub 4 19 0 0.305555556 0.694444444
pub 4 20 0 0.228571429 0.771428571
pub 4 21 0 0.346153846 0.653846154
pub 4 22 0.034482759 0.310344828 0.655172414
pub 4 23 0.060606061 0.303030303 0.636363636
pub 4 24 0.086956522 0.260869565 0.652173913
pub 4 25 0.1 0.289473684 0.610526316
pub 4 26 0.1 0.3 0.6
pub 4 27 0.1 0.3 0.6
pub 4 28 0.1 0.3 0.6
pub 4 29 0.1 0.210526316 0.689473684
pub 4 30 0.1 0.2 0.7
pub 4 31 0.1 0.2 0.7
pub 5 1 0 0 1
pub 5 2 0 0 1
pub 5 3 0 0.166666667 0.833333333
pub 5 4 0 0.3125 0.6875
pub 5 5 0 0.25 0.75
pub 5 6 0 0.27 0.73
pub 5 7 0 0.3 0.7
pub 5 8 0 0.21875 0.78125
pub 5 9 0 0.3 0.7
pub 5 10 0 0.27 0.73
pub 5 11 0 0.25 0.75
pub 5 12 0 0.25 0.75
pub 5 13 0 0.220588235 0.779411765
pub 5 14 0 0.25 0.75
pub 5 15 0 0.381818182 0.618181818
pub 5 16 0 0.257142857 0.742857143
pub 5 17 0 0.291891892 0.708108108
pub 5 18 0 0.211764706 0.788235294
pub 5 19 0 0.305555556 0.694444444
pub 5 20 0 0.228571429 0.771428571
pub 5 21 0 0.346153846 0.653846154
pub 5 22 0.034482759 0.310344828 0.655172414
pub 5 23 0.060606061 0.303030303 0.636363636
pub 5 24 0.086956522 0.260869565 0.652173913
pub 5 25 0.1 0.289473684 0.610526316
pub 5 26 0.1 0.3 0.6
pub 5 27 0.1 0.3 0.6
pub 5 28 0.1 0.3 0.6
pub 5 29 0.1 0.210526316 0.689473684
pub 5 30 0.1 0.2 0.7
pub 5 31 0.1 0.2 0.7
pub 6 1 0 0 1
pub 6 2 0 0 1
pub 6 3 0 0.166666667 0.833333333
pub 6 4 0 0.3125 0.6875
pub 6 5 0 0.25 0.75
pub 6 6 0 0.27 0.73
pub 6 7 0 0.3 0.7
pub 6 8 0 0.21875 0.78125
pub 6 9 0 0.3 0.7
pub 6 10 0 0.27 0.73
pub 6 11 0 0.25 0.75
pub 6 12 0 0.25 0.75
pub 6 13 0 0.220588235 0.779411765
pub 6 14 0 0.25 0.75
pub 6 15 0 0.381818182 0.618181818
pub 6 16 0 0.257142857 0.742857143
pub 6 17 0 0.291891892 0.708108108
pub 6 18 0 0.211764706 0.788235294
pub 6 19 0 0.305555556 0.694444444
pub 6 20 0 0.228571429 0.771428571
pub 6 21 0 0.346153846 0.653846154
pub 6 22 0.034482759 0.310344828 0.655172414
pub 6 23 0.060606061 0.303030303 0.636363636
pub 6 24 0.086956522 0.260869565 0.652173913
pub 6 25 0.1 0.289473684 0.610526316
pub 6 26 0.1 0.3 0.6
pub 6 27 0.1 0.3 0.6
pub 6 28 0.1 0.3 0.6
pub 6 29 0.1 0.210526316 0.689473684
pub 6 30 0.1 0.2 0.7
pub 6 31 0.1 0.2 0.7
pub 7 1 0 0 1
pub 7 2 0 0 1
pub 7 3 0 0.166666667 0.833333333
pub 7 4 0 0.3125 0.6875
pub 7 5 0 0.25 0.75
pub 7 6 0 0.27 0.73
pub 7 7 0 0.3 0.7
pub 7 8 0 0.21875 0.78125
pub 7 9 0 0.3 0.7
pub 7 10 0 0.27 0.73
pub 7 11 0 0.25 0.75
pub 7 12 0 0.25 0.75
pub 7 13 0 0.220588235 0.779411765
pub 7 14 0 0.25 0.75
pub 7 15 0 0.381818182 0.618181818
pub 7 16 0 0.257142857 0.742857143
pub 7 17 0 0.291891892 0.708108108
pub 7 18 0 0.211764706 0.788235294
pub 7 19 0 0.305555556 0.694444444
pub 7 20 0 0.228571429 0.771428571
pub 7 21 0 0.346153846 0.653846154
pub 7 22 0.034482759 0.310344828 0.655172414
pub 7 23 0.060606061 0.303030303 0.636363636
pub 7 24 0.086956522 0.260869565 0.652173913
pub 7 25 0.1 0.289473684 0.610526316
pub 7 26 0.1 0.3 0.6
pub 7 27 0.1 0.3 0.6
pub 7 28 0.1 0.3 0.6
pub 7 29 0.1 0.210526316 0.689473684
pub 7 30 0.1 0.2 0.7
pub 7 31 0.1 0.2 0.7
pub 8 1 0 0 1
pub 8 2 0 0 1
pub 8 3 0 0.166666667 0.833333333
pub 8 4 0 0.3125 0.6875
pub 8 5 0 0.25 0.75
pub 8 6 0 0.27 0.73
pub 8 7 0 0.3 0.7
pub 8 8 0 0.21875 0.78125
pub 8 9 0 0.3 0.7
pub 8 10 0 0.27 0.73
pub 8 11 0 0.25 0.75
pub 8 12 0 0.25 0.75
pub 8 13 0 0.220588235 0.779411765
pub 8 14 0 0.25 0.75
pub 8 15 0 0.381818182 0.618181818
pub 8 16 0 0.257142857 0.742857143
pub 8 17 0 0.291891892 0.708108108
pub 8 18 0 0.211764706 0.788235294
pub 8 19 0 0.305555556 0.694444444
pub 8 20 0 0.228571429 0.771428571
pub 8 21 0 0.346153846 0.653846154
pub 8 22 0.034482759 0.310344828 0.655172414
pub 8 23 0.060606061 0.303030303 0.636363636
pub 8 24 0.086956522 0.260869565 0.652173913
pub 8 25 0.1 0.289473684 0.610526316
pub 8 26 0.1 0.3 0.6
pub 8 27 0.1 0.3 0.6
pub 8 28 0.1 0.3 0.6
pub 8 29 0.1 0.210526316 0.689473684
pub 8 30 0.1 0.2 0.7
pub 8 31 0.1 0.2 0.7
pub 9 1 0 0 1
pub 9 2 0 0 1
pub 9 3 0 0.166666667 0.833333333
pub 9 4 0 0.3125 0.6875
pub 9 5 0 0.25 0.75
pub 9 6 0 0.27 0.73
pub 9 7 0 0.3 0.7
pub 9 8 0 0.21875 0.78125
pub 9 9 0 0.3 0.7
pub 9 10 0 0.27 0.73
pub 9 11 0 0.25 0.75
pub 9 12 0 0.25 0.75
pub 9 13 0 0.220588235 0.779411765
pub 9 14 0 0.25 0.75
pub 9 15 0 0.381818182 0.618181818
pub 9 16 0 0.257142857 0.742857143
pub 9 17 0 0.291891892 0.708108108
pub 9 18 0 0.211764706 0.788235294
pub 9 19 0 0.305555556 0.694444444
pub 9 20 0 0.228571429 0.771428571
pub 9 21 0 0.346153846 0.653846154
pub 9 22 0.034482759 0.310344828 0.655172414
pub 9 23 0.060606061 0.303030303 0.636363636
pub 9 24 0.086956522 0.260869565 0.652173913
pub 9 25 0.1 0.289473684 0.610526316
pub 9 26 0.1 0.3 0.6
pub 9 27 0.1 0.3 0.6
pub 9 28 0.1 0.3 0.6
pub 9 29 0.1 0.210526316 0.689473684
pub 9 30 0.1 0.2 0.7
pub 9 31 0.1 0.2 0.7
pub 10 1 0 0 1
pub 10 2 0 0 1
pub 10 3 0 0.166666667 0.833333333
pub 10 4 0 0.3125 0.6875
pub 10 5 0 0.25 0.75
pub 10 6 0 0.27 0.73
pub 10 7 0 0.3 0.7
pub 10 8 0 0.21875 0.78125
pub 10 9 0 0.3 0.7
pub 10 10 0 0.27 0.73
pub 10 11 0 0.25 0.75
pub 10 12 0 0.25 0.75
pub 10 13 0 0.220588235 0.779411765
pub 10 14 0 0.25 0.75
pub 10 15 0 0.381818182 0.618181818
pub 10 16 0 0.257142857 0.742857143
pub 10 17 0 0.291891892 0.708108108
pub 10 18 0 0.211764706 0.788235294
pub 10 19 0 0.305555556 0.694444444
pub 10 20 0 0.228571429 0.771428571
pub 10 21 0 0.346153846 0.653846154
pub 10 22 0.034482759 0.310344828 0.655172414
pub 10 23 0.060606061 0.303030303 0.636363636
pub 10 24 0.086956522 0.260869565 0.652173913
pub 10 25 0.1 0.289473684 0.610526316
pub 10 26 0.1 0.3 0.6
pub 10 27 0.1 0.3 0.6
pub 10 28 0.1 0.3 0.6
pub 10 29 0.1 0.210526316 0.689473684
pub 10 30 0.1 0.2 0.7
pub 10 31 0.1 0.2 0.7
priv 1 1 0 0 1
priv 1 2 0 0 1
priv 1 3 0 0.166666667 0.833333333
priv 1 4 0 0.3125 0.6875
priv 1 5 0 0.25 0.75
priv 1 6 0 0.27 0.73
priv 1 7 0 0.3 0.7
priv 1 8 0 0.21875 0.78125
priv 1 9 0 0.3 0.7
priv 1 10 0 0.27 0.73
priv 1 11 0 0.25 0.75
priv 1 12 0 0.25 0.75
priv 1 13 0 0.220588235 0.779411765
priv 1 14 0 0.25 0.75
priv 1 15 0 0.381818182 0.618181818
priv 1 16 0 0.257142857 0.742857143
priv 1 17 0 0.291891892 0.708108108
priv 1 18 0 0.211764706 0.788235294
priv 1 19 0 0.305555556 0.694444444
priv 1 20 0 0.228571429 0.771428571
priv 1 21 0 0.346153846 0.653846154
priv 1 22 0.034482759 0.310344828 0.655172414
priv 1 23 0.060606061 0.303030303 0.636363636
priv 1 24 0.086956522 0.260869565 0.652173913
priv 1 25 0.1 0.289473684 0.610526316
priv 1 26 0.1 0.3 0.6
priv 1 27 0.1 0.3 0.6
priv 1 28 0.1 0.3 0.6
priv 1 29 0.1 0.210526316 0.689473684
priv 1 30 0.1 0.2 0.7
priv 1 31 0.1 0.2 0.7
priv 2 1 0 0 1
priv 2 2 0 0 1
priv 2 3 0 0.166666667 0.833333333
priv 2 4 0 0.3125 0.6875
priv 2 5 0 0.25 0.75
priv 2 6 0 0.27 0.73
priv 2 7 0 0.3 0.7
priv 2 8 0 0.21875 0.78125
priv 2 9 0 0.3 0.7
priv 2 10 0 0.27 0.73
priv 2 11 0 0.25 0.75
priv 2 12 0 0.25 0.75
priv 2 13 0 0.220588235 0.779411765
priv 2 14 0 0.25 0.75
priv 2 15 0 0.381818182 0.618181818
priv 2 16 0 0.257142857 0.742857143
priv 2 17 0 0.291891892 0.708108108
priv 2 18 0 0.211764706 0.788235294
priv 2 19 0 0.305555556 0.694444444
priv 2 20 0 0.228571429 0.771428571
priv 2 21 0 0.346153846 0.653846154
priv 2 22 0.034482759 0.310344828 0.655172414
priv 2 23 0.060606061 0.303030303 0.636363636
priv 2 24 0.086956522 0.260869565 0.652173913
priv 2 25 0.1 0.289473684 0.610526316
priv 2 26 0.1 0.3 0.6
priv 2 27 0.1 0.3 0.6
priv 2 28 0.1 0.3 0.6
priv 2 29 0.1 0.210526316 0.689473684
priv 2 30 0.1 0.2 0.7
priv 2 31 0.1 0.2 0.7
priv 3 1 0 0 1
priv 3 2 0 0 1
priv 3 3 0 0.166666667 0.833333333
priv 3 4 0 0.3125 0.6875
priv 3 5 0 0.25 0.75
priv 3 6 0 0.27 0.73
priv 3 7 0 0.3 0.7
priv 3 8 0 0.21875 0.78125
priv 3 9 0 0.3 0.7
priv 3 10 0 0.27 0.73
priv 3 11 0 0.25 0.75
priv 3 12 0 0.25 0.75
priv 3 13 0 0.220588235 0.779411765
priv 3 14 0 0.25 0.75
priv 3 15 0 0.381818182 0.618181818
priv 3 16 0 0.257142857 0.742857143
priv 3 17 0 0.291891892 0.708108108
priv 3 18 0 0.211764706 0.788235294
priv 3 19 0 0.305555556 0.694444444
priv 3 20 0 0.228571429 0.771428571
priv 3 21 0 0.346153846 0.653846154
priv 3 22 0.034482759 0.310344828 0.655172414
priv 3 23 0.060606061 0.303030303 0.636363636
priv 3 24 0.086956522 0.260869565 0.652173913
priv 3 25 0.1 0.289473684 0.610526316
priv 3 26 0.1 0.3 0.6
priv 3 27 0.1 0.3 0.6
priv 3 28 0.1 0.3 0.6
priv 3 29 0.1 0.210526316 0.689473684
priv 3 30 0.1 0.2 0.7
priv 3 31 0.1 0.2 0.7
priv 4 1 0 0 1
priv 4 2 0 0 1
priv 4 3 0 0.166666667 0.833333333
priv 4 4 0 0.3125 0.6875
priv 4 5 0 0.25 0.75
priv 4 6 0 0.27 0.73
priv 4 7 0 0.3 0.7
priv 4 8 0 0.21875 0.78125
priv 4 9 0 0.3 0.7
priv 4 10 0 0.27 0.73
priv 4 11 0 0.25 0.75
priv 4 12 0 0.25 0.75
priv 4 13 0 0.220588235 0.779411765
priv 4 14 0 0.25 0.75
priv 4 15 0 0.381818182 0.618181818
priv 4 16 0 0.257142857 0.742857143
priv 4 17 0 0.291891892 0.708108108
priv 4 18 0 0.211764706 0.788235294
priv 4 19 0 0.305555556 0.694444444
priv 4 20 0 0.228571429 0.771428571
priv 4 21 0 0.346153846 0.653846154
priv 4 22 0.034482759 0.310344828 0.655172414
priv 4 23 0.060606061 0.303030303 0.636363636
priv 4 24 0.086956522 0.260869565 0.652173913
priv 4 25 0.1 0.289473684 0.610526316
priv 4 26 0.1 0.3 0.6
priv 4 27 0.1 0.3 0.6
priv 4 28 0.1 0.3 0.6
priv 4 29 0.1 0.210526316 0.689473684
priv 4 30 0.1 0.2 0.7
priv 4 31 0.1 0.2 0.7
priv 5 1 0 0 1
priv 5 2 0 0 1
priv 5 3 0 0.166666667 0.833333333
priv 5 4 0 0.3125 0.6875
priv 5 5 0 0.25 0.75
priv 5 6 0 0.27 0.73
priv 5 7 0 0.3 0.7
priv 5 8 0 0.21875 0.78125
priv 5 9 0 0.3 0.7
priv 5 10 0 0.27 0.73
priv 5 11 0 0.25 0.75
priv 5 12 0 0.25 0.75
priv 5 13 0 0.220588235 0.779411765
priv 5 14 0 0.25 0.75
priv 5 15 0 0.381818182 0.618181818
priv 5 16 0 0.257142857 0.742857143
priv 5 17 0 0.291891892 0.708108108
priv 5 18 0 0.211764706 0.788235294
priv 5 19 0 0.305555556 0.694444444
priv 5 20 0 0.228571429 0.771428571
priv 5 21 0 0.346153846 0.653846154
priv 5 22 0.034482759 0.310344828 0.655172414
priv 5 23 0.060606061 0.303030303 0.636363636
priv 5 24 0.086956522 0.260869565 0.652173913
priv 5 25 0.1 0.289473684 0.610526316
priv 5 26 0.1 0.3 0.6
priv 5 27 0.1 0.3 0.6
priv 5 28 0.1 0.3 0.6
priv 5 29 0.1 0.210526316 0.689473684
priv 5 30 0.1 0.2 0.7
priv 5 31 0.1 0.2 0.7
priv 6 1 0 0 1
priv 6 2 0 0 1
priv 6 3 0 0.166666667 0.833333333
priv 6 4 0 0.3125 0.6875
priv 6 5 0 0.25 0.75
priv 6 6 0 0.27 0.73
priv 6 7 0 0.3 0.7
priv 6 8 0 0.21875 0.78125
priv 6 9 0 0.3 0.7
priv 6 10 0 0.27 0.73
priv 6 11 0 0.25 0.75
priv 6 12 0 0.25 0.75
priv 6 13 0 0.220588235 0.779411765
priv 6 14 0 0.25 0.75
priv 6 15 0 0.381818182 0.618181818
priv 6 16 0 0.257142857 0.742857143
priv 6 17 0 0.291891892 0.708108108
priv 6 18 0 0.211764706 0.788235294
priv 6 19 0 0.305555556 0.694444444
priv 6 20 0 0.228571429 0.771428571
priv 6 21 0 0.346153846 0.653846154
priv 6 22 0.034482759 0.310344828 0.655172414
priv 6 23 0.060606061 0.303030303 0.636363636
priv 6 24 0.086956522 0.260869565 0.652173913
priv 6 25 0.1 0.289473684 0.610526316
priv 6 26 0.1 0.3 0.6
priv 6 27 0.1 0.3 0.6
priv 6 28 0.1 0.3 0.6
priv 6 29 0.1 0.210526316 0.689473684
priv 6 30 0.1 0.2 0.7
priv 6 31 0.1 0.2 0.7
priv 7 1 0 0 1
priv 7 2 0 0 1
priv 7 3 0 0.166666667 0.833333333
priv 7 4 0 0.3125 0.6875
priv 7 5 0 0.25 0.75
priv 7 6 0 0.27 0.73
priv 7 7 0 0.3 0.7
priv 7 8 0 0.21875 0.78125
priv 7 9 0 0.3 0.7
priv 7 10 0 0.27 0.73
priv 7 11 0 0.25 0.75
priv 7 12 0 0.25 0.75
priv 7 13 0 0.220588235 0.779411765
priv 7 14 0 0.25 0.75
priv 7 15 0 0.381818182 0.618181818
priv 7 16 0 0.257142857 0.742857143
priv 7 17 0 0.291891892 0.708108108
priv 7 18 0 0.211764706 0.788235294
priv 7 19 0 0.305555556 0.694444444
priv 7 20 0 0.228571429 0.771428571
priv 7 21 0 0.346153846 0.653846154
priv 7 22 0.034482759 0.310344828 0.655172414
priv 7 23 0.060606061 0.303030303 0.636363636
priv 7 24 0.086956522 0.260869565 0.652173913
priv 7 25 0.1 0.289473684 0.610526316
priv 7 26 0.1 0.3 0.6
priv 7 27 0.1 0.3 0.6
priv 7 28 0.1 0.3 0.6
priv 7 29 0.1 0.210526316 0.689473684
priv 7 30 0.1 0.2 0.7
priv 7 31 0.1 0.2 0.7
priv 8 1 0 0 1
priv 8 2 0 0 1
priv 8 3 0 0.166666667 0.833333333
priv 8 4 0 0.3125 0.6875
priv 8 5 0 0.25 0.75
priv 8 6 0 0.27 0.73
priv 8 7 0 0.3 0.7
priv 8 8 0 0.21875 0.78125
priv 8 9 0 0.3 0.7
priv 8 10 0 0.27 0.73
priv 8 11 0 0.25 0.75
priv 8 12 0 0.25 0.75
priv 8 13 0 0.220588235 0.779411765
priv 8 14 0 0.25 0.75
priv 8 15 0 0.381818182 0.618181818
priv 8 16 0 0.257142857 0.742857143
priv 8 17 0 0.291891892 0.708108108
priv 8 18 0 0.211764706 0.788235294
priv 8 19 0 0.305555556 0.694444444
priv 8 20 0 0.228571429 0.771428571
priv 8 21 0 0.346153846 0.653846154
priv 8 22 0.034482759 0.310344828 0.655172414
priv 8 23 0.060606061 0.303030303 0.636363636
priv 8 24 0.086956522 0.260869565 0.652173913
priv 8 25 0.1 0.289473684 0.610526316
priv 8 26 0.1 0.3 0.6
priv 8 27 0.1 0.3 0.6
priv 8 28 0.1 0.3 0.6
priv 8 29 0.1 0.210526316 0.689473684
priv 8 30 0.1 0.2 0.7
priv 8 31 0.1 0.2 0.7
priv 9 1 0 0 1
priv 9 2 0 0 1
priv 9 3 0 0.166666667 0.833333333
priv 9 4 0 0.3125 0.6875
priv 9 5 0 0.25 0.75
priv 9 6 0 0.27 0.73
priv 9 7 0 0.3 0.7
priv 9 8 0 0.21875 0.78125
priv 9 9 0 0.3 0.7
priv 9 10 0 0.27 0.73
priv 9 11 0 0.25 0.75
priv 9 12 0 0.25 0.75
priv 9 13 0 0.220588235 0.779411765
priv 9 14 0 0.25 0.75
priv 9 15 0 0.381818182 0.618181818
priv 9 16 0 0.257142857 0.742857143
priv 9 17 0 0.291891892 0.708108108
priv 9 18 0 0.211764706 0.788235294
priv 9 19 0 0.305555556 0.694444444
priv 9 20 0 0.228571429 0.771428571
priv 9 21 0 0.346153846 0.653846154
priv 9 22 0.034482759 0.310344828 0.655172414
priv 9 23 0.060606061 0.303030303 0.636363636
priv 9 24 0.086956522 0.260869565 0.652173913
priv 9 25 0.1 0.289473684 0.610526316
priv 9 26 0.1 0.3 0.6
priv 9 27 0.1 0.3 0.6
priv 9 28 0.1 0.3 0.6
priv 9 29 0.1 0.210526316 0.689473684
priv 9 30 0.1 0.2 0.7
priv 9 31 0.1 0.2 0.7
priv 10 1 0 0 1
priv 10 2 0 0 1
priv 10 3 0 0.166666667 0.833333333
priv 10 4 0 0.3125 0.6875
priv 10 5 0 0.25 0.75
priv 10 6 0 0.27 0.73
priv 10 7 0 0.3 0.7
priv 10 8 0 0.21875 0.78125
priv 10 9 0 0.3 0.7
priv 10 10 0 0.27 0.73
priv 10 11 0 0.25 0.75
priv 10 12 0 0.25 0.75
priv 10 13 0 0.220588235 0.779411765
priv 10 14 0 0.25 0.75
