ownership vol age finalfell thin nomgmt
pub 1 1 0 0 1
pub 1 2 0 0 1
pub 1 3 0 0.1 0.9
pub 1 4 0 0.15 0.85
pub 1 5 0 0.205479452 0.794520548
pub 1 6 0 0.216 0.784
pub 1 7 0 0.247058824 0.752941176
pub 1 8 0 0.3 0.7
pub 1 9 0 0.4 0.6
pub 1 10 0 0.4 0.6
pub 1 11 0.135135135 0.324324324 0.540540541
pub 1 12 0.204081633 0.35 0.445918367
pub 1 13 0.15 0.35 0.5
pub 1 14 0.15 0.35 0.5
pub 1 15 0.15 0.35 0.5
pub 1 16 0.15 0.35 0.5
pub 1 17 0.2 0.35 0.45
pub 2 1 0 0 1
pub 2 2 0 0 1
pub 2 3 0 0.1 0.9
pub 2 4 0 0.15 0.85
pub 2 5 0 0.205479452 0.794520548
pub 2 6 0 0.216 0.784
pub 2 7 0 0.247058824 0.752941176
pub 2 8 0 0.3 0.7
pub 2 9 0 0.4 0.6
pub 2 10 0 0.4 0.6
pub 2 11 0.135135135 0.324324324 0.540540541
pub 2 12 0.204081633 0.35 0.445918367
pub 2 13 0.15 0.35 0.5
pub 2 14 0.15 0.35 0.5
pub 2 15 0.15 0.35 0.5
pub 2 16 0.15 0.35 0.5
pub 2 17 0.2 0.35 0.45
pub 3 1 0 0 1
pub 3 2 0 0 1
pub 3 3 0 0.1 0.9
pub 3 4 0 0.15 0.85
pub 3 5 0 0.205479452 0.794520548
pub 3 6 0 0.216 0.784
pub 3 7 0 0.247058824 0.752941176
pub 3 8 0 0.3 0.7
pub 3 9 0 0.4 0.6
pub 3 10 0 0.4 0.6
pub 3 11 0.135135135 0.324324324 0.540540541
pub 3 12 0.204081633 0.35 0.445918367
pub 3 13 0.15 0.35 0.5
pub 3 14 0.15 0.35 0.5
pub 3 15 0.15 0.35 0.5
pub 3 16 0.15 0.35 0.5
pub 3 17 0.2 0.35 0.45
pub 4 1 0 0 1
pub 4 2 0 0 1
pub 4 3 0 0.1 0.9
pub 4 4 0 0.15 0.85
pub 4 5 0 0.205479452 0.794520548
pub 4 6 0 0.216 0.784
pub 4 7 0 0.247058824 0.752941176
pub 4 8 0 0.3 0.7
pub 4 9 0 0.4 0.6
pub 4 10 0 0.4 0.6
pub 4 11 0.135135135 0.324324324 0.540540541
pub 4 12 0.204081633 0.35 0.445918367
pub 4 13 0.15 0.35 0.5
pub 4 14 0.15 0.35 0.5
pub 4 15 0.15 0.35 0.5
pub 4 16 0.15 0.35 0.5
pub 4 17 0.2 0.35 0.45
pub 5 1 0 0 1
pub 5 2 0 0 1
pub 5 3 0 0.1 0.9
pub 5 4 0 0.15 0.85
pub 5 5 0 0.205479452 0.794520548
pub 5 6 0 0.216 0.784
pub 5 7 0 0.247058824 0.752941176
pub 5 8 0 0.3 0.7
pub 5 9 0 0.4 0.6
pub 5 10 0 0.4 0.6
pub 5 11 0.135135135 0.324324324 0.540540541
pub 5 12 0.204081633 0.35 0.445918367
pub 5 13 0.15 0.35 0.5
pub 5 14 0.15 0.35 0.5
pub 5 15 0.15 0.35 0.5
pub 5 16 0.15 0.35 0.5
pub 5 17 0.2 0.35 0.45
pub 6 1 0 0 1
pub 6 2 0 0 1
pub 6 3 0 0.1 0.9
pub 6 4 0 0.15 0.85
pub 6 5 0 0.205479452 0.794520548
pub 6 6 0 0.216 0.784
pub 6 7 0 0.247058824 0.752941176
pub 6 8 0 0.3 0.7
pub 6 9 0 0.4 0.6
pub 6 10 0 0.4 0.6
pub 6 11 0.135135135 0.324324324 0.540540541
pub 6 12 0.204081633 0.35 0.445918367
pub 6 13 0.15 0.35 0.5
pub 6 14 0.15 0.35 0.5
pub 6 15 0.15 0.35 0.5
pub 6 16 0.15 0.35 0.5
pub 6 17 0.2 0.35 0.45
pub 7 1 0 0 1
pub 7 2 0 0 1
pub 7 3 0 0.1 0.9
pub 7 4 0 0.15 0.85
pub 7 5 0 0.205479452 0.794520548
pub 7 6 0 0.216 0.784
pub 7 7 0 0.247058824 0.752941176
pub 7 8 0 0.3 0.7
pub 7 9 0 0.4 0.6
pub 7 10 0 0.4 0.6
pub 7 11 0.135135135 0.324324324 0.540540541
pub 7 12 0.204081633 0.35 0.445918367
pub 7 13 0.15 0.35 0.5
pub 7 14 0.15 0.35 0.5
pub 7 15 0.15 0.35 0.5
pub 7 16 0.15 0.35 0.5
pub 7 17 0.2 0.35 0.45
pub 8 1 0 0 1
pub 8 2 0 0 1
pub 8 3 0 0.1 0.9
pub 8 4 0 0.15 0.85
pub 8 5 0 0.205479452 0.794520548
pub 8 6 0 0.216 0.784
pub 8 7 0 0.247058824 0.752941176
pub 8 8 0 0.3 0.7
pub 8 9 0 0.4 0.6
pub 8 10 0 0.4 0.6
pub 8 11 0.135135135 0.324324324 0.540540541
pub 8 12 0.204081633 0.35 0.445918367
pub 8 13 0.15 0.35 0.5
pub 8 14 0.15 0.35 0.5
pub 8 15 0.15 0.35 0.5
pub 8 16 0.15 0.35 0.5
pub 8 17 0.2 0.35 0.45
pub 9 1 0 0 1
pub 9 2 0 0 1
pub 9 3 0 0.1 0.9
pub 9 4 0 0.15 0.85
pub 9 5 0 0.205479452 0.794520548
pub 9 6 0 0.216 0.784
pub 9 7 0 0.247058824 0.752941176
pub 9 8 0 0.3 0.7
pub 9 9 0 0.4 0.6
pub 9 10 0 0.4 0.6
pub 9 11 0.135135135 0.324324324 0.540540541
pub 9 12 0.204081633 0.35 0.445918367
pub 9 13 0.15 0.35 0.5
pub 9 14 0.15 0.35 0.5
pub 9 15 0.15 0.35 0.5
pub 9 16 0.15 0.35 0.5
pub 9 17 0.2 0.35 0.45
pub 10 1 0 0 1
pub 10 2 0 0 1
pub 10 3 0 0.1 0.9
pub 10 4 0 0.15 0.85
pub 10 5 0 0.205479452 0.794520548
pub 10 6 0 0.216 0.784
pub 10 7 0 0.247058824 0.752941176
pub 10 8 0 0.3 0.7
pub 10 9 0 0.4 0.6
pub 10 10 0 0.4 0.6
pub 10 11 0.135135135 0.324324324 0.540540541
pub 10 12 0.204081633 0.35 0.445918367
pub 10 13 0.15 0.35 0.5
pub 10 14 0.15 0.35 0.5
pub 10 15 0.15 0.35 0.5
pub 10 16 0.15 0.35 0.5
pub 10 17 0.2 0.35 0.45
priv 1 1 0 0 1
priv 1 2 0 0 1
priv 1 3 0 0.1 0.9
priv 1 4 0 0.15 0.85
priv 1 5 0 0.205479452 0.794520548
priv 1 6 0 0.216 0.784
priv 1 7 0 0.247058824 0.752941176
priv 1 8 0 0.3 0.7
priv 1 9 0 0.4 0.6
priv 1 10 0 0.4 0.6
priv 1 11 0.135135135 0.324324324 0.540540541
priv 1 12 0.204081633 0.35 0.445918367
priv 1 13 0.15 0.35 0.5
priv 1 14 0.15 0.35 0.5
priv 1 15 0.15 0.35 0.5
priv 1 16 0.15 0.35 0.5
priv 1 17 0.2 0.35 0.45
priv 2 1 0 0 1
priv 2 2 0 0 1
priv 2 3 0 0.1 0.9
priv 2 4 0 0.15 0.85
priv 2 5 0 0.205479452 0.794520548
priv 2 6 0 0.216 0.784
priv 2 7 0 0.247058824 0.752941176
priv 2 8 0 0.3 0.7
priv 2 9 0 0.4 0.6
priv 2 10 0 0.4 0.6
priv 2 11 0.135135135 0.324324324 0.540540541
priv 2 12 0.204081633 0.35 0.445918367
priv 2 13 0.15 0.35 0.5
priv 2 14 0.15 0.35 0.5
priv 2 15 0.15 0.35 0.5
priv 2 16 0.15 0.35 0.5
priv 2 17 0.2 0.35 0.45
priv 3 1 0 0 1
priv 3 2 0 0 1
priv 3 3 0 0.1 0.9
priv 3 4 0 0.15 0.85
priv 3 5 0 0.205479452 0.794520548
priv 3 6 0 0.216 0.784
priv 3 7 0 0.247058824 0.752941176
priv 3 8 0 0.3 0.7
priv 3 9 0 0.4 0.6
priv 3 10 0 0.4 0.6
priv 3 11 0.135135135 0.324324324 0.540540541
priv 3 12 0.204081633 0.35 0.445918367
priv 3 13 0.15 0.35 0.5
priv 3 14 0.15 0.35 0.5
priv 3 15 0.15 0.35 0.5
priv 3 16 0.15 0.35 0.5
priv 3 17 0.2 0.35 0.45
priv 4 1 0 0 1
priv 4 2 0 0 1
priv 4 3 0 0.1 0.9
priv 4 4 0 0.15 0.85
priv 4 5 0 0.205479452 0.794520548
priv 4 6 0 0.216 0.784
priv 4 7 0 0.247058824 0.752941176
priv 4 8 0 0.3 0.7
priv 4 9 0 0.4 0.6
priv 4 10 0 0.4 0.6
priv 4 11 0.135135135 0.324324324 0.540540541
priv 4 12 0.204081633 0.35 0.445918367
priv 4 13 0.15 0.35 0.5
priv 4 14 0.15 0.35 0.5
priv 4 15 0.15 0.35 0.5
priv 4 16 0.15 0.35 0.5
priv 4 17 0.2 0.35 0.45
priv 5 1 0 0 1
priv 5 2 0 0 1
priv 5 3 0 0.1 0.9
priv 5 4 0 0.15 0.85
priv 5 5 0 0.205479452 0.794520548
priv 5 6 0 0.216 0.784
priv 5 7 0 0.247058824 0.752941176
priv 5 8 0 0.3 0.7
priv 5 9 0 0.4 0.6
priv 5 10 0 0.4 0.6
priv 5 11 0.135135135 0.324324324 0.540540541
priv 5 12 0.204081633 0.35 0.445918367
priv 5 13 0.15 0.35 0.5
priv 5 14 0.15 0.35 0.5
priv 5 15 0.15 0.35 0.5
priv 5 16 0.15 0.35 0.5
priv 5 17 0.2 0.35 0.45
priv 6 1 0 0 1
priv 6 2 0 0 1
priv 6 3 0 0.1 0.9
priv 6 4 0 0.15 0.85
priv 6 5 0 0.205479452 0.794520548
priv 6 6 0 0.216 0.784
priv 6 7 0 0.247058824 0.752941176
priv 6 8 0 0.3 0.7
priv 6 9 0 0.4 0.6
priv 6 10 0 0.4 0.6
priv 6 11 0.135135135 0.324324324 0.540540541
priv 6 12 0.204081633 0.35 0.445918367
priv 6 13 0.15 0.35 0.5
priv 6 14 0.15 0.35 0.5
priv 6 15 0.15 0.35 0.5
priv 6 16 0.15 0.35 0.5
priv 6 17 0.2 0.35 0.45
priv 7 1 0 0 1
priv 7 2 0 0 1
priv 7 3 0 0.1 0.9
priv 7 4 0 0.15 0.85
priv 7 5 0 0.205479452 0.794520548
priv 7 6 0 0.216 0.784
priv 7 7 0 0.247058824 0.752941176
priv 7 8 0 0.3 0.7
priv 7 9 0 0.4 0.6
priv 7 10 0 0.4 0.6
priv 7 11 0.135135135 0.324324324 0.540540541
priv 7 12 0.204081633 0.35 0.445918367
priv 7 13 0.15 0.35 0.5
priv 7 14 0.15 0.35 0.5
priv 7 15 0.15 0.35 0.5
priv 7 16 0.15 0.35 0.5
priv 7 17 0.2 0.35 0.45
priv 8 1 0 0 1
priv 8 2 0 0 1
priv 8 3 0 0.1 0.9
priv 8 4 0 0.15 0.85
priv 8 5 0 0.205479452 0.794520548
priv 8 6 0 0.216 0.784
priv 8 7 0 0.247058824 0.752941176
priv 8 8 0 0.3 0.7
priv 8 9 0 0.4 0.6
priv 8 10 0 0.4 0.6
priv 8 11 0.135135135 0.324324324 0.540540541
priv 8 12 0.204081633 0.35 0.445918367
priv 8 13 0.15 0.35 0.5
priv 8 14 0.15 0.35 0.5
priv 8 15 0.15 0.35 0.5
priv 8 16 0.15 0.35 0.5
priv 8 17 0.2 0.35 0.45
priv 9 1 0 0 1
priv 9 2 0 0 1
priv 9 3 0 0.1 0.9
priv 9 4 0 0.15 0.85
priv 9 5 0 0.205479452 0.794520548
priv 9 6 0 0.216 0.784
priv 9 7 0 0.247058824 0.752941176
priv 9 8 0 0.3 0.7
priv 9 9 0 0.4 0.6
priv 9 10 0 0.4 0.6
priv 9 11 0.135135135 0.324324324 0.540540541
priv 9 12 0.204081633 0.35 0.445918367
priv 9 13 0.15 0.35 0.5
priv 9 14 0.15 0.35 0.5
priv 9 15 0.15 0.35 0.5
priv 9 16 0.15 0.35 0.5
priv 9 17 0.2 0.35 0.45
priv 10 1 0 0 1
priv 10 2 0 0 1
priv 10 3 0 0.1 0.9
priv 10 4 0 0.15 0.85
priv 10 5 0 0.205479452 0.794520548
priv 10 6 0 0.216 0.784
priv 10 7 0 0.247058824 0.752941176
priv 10 8 0 0.3 0.7
priv 10 9 0 0.4 0.6
priv 10 10 0 0.4 0.6
priv 10 11 0.135135135 0.324324324 0.540540541
priv 10 12 0.204081633 0.35 0.445918367
priv 10 13 0.15 0.35 0.5
priv 10 14 0.15 0.35 0.5
priv 10 15 0.15 0.35 0.5
priv 10 16 0.15 0.35 0.5
priv 10 17 0.2 0.35 0.45
