ownership vol age finalfell thin nomgmt
pub 1 1 0 0 1
pub 1 2 0 0 1
pub 1 3 0 0.041666667 0.958333333
pub 1 4 0 0.119047619 0.880952381
pub 1 5 0 0.1 0.9
pub 1 6 0 0.15 0.85
pub 1 7 0 0.24137931 0.75862069
pub 1 8 0 0.157894737 0.842105263
pub 1 9 0 0.387234043 0.612765957
pub 1 10 0 0.275 0.725
pub 1 11 0 0.242424242 0.757575758
pub 1 12 0 0.263888889 0.736111111
pub 1 13 0 0.214285714 0.785714286
pub 1 14 0 0.20754717 0.79245283
pub 1 15 0 0.285606061 0.714393939
pub 1 16 0 0.262015504 0.737984496
pub 1 17 0 0.306369427 0.693630573
pub 1 18 0 0.267938931 0.732061069
pub 1 19 0 0.333057851 0.666942149
pub 1 20 0 0.295934959 0.704065041
pub 1 21 0 0.23442623 0.76557377
pub 1 22 0 0.226605505 0.773394495
pub 1 23 0 0.322018349 0.677981651
pub 1 24 0 0.2496 0.7504
pub 1 25 0 0.287610619 0.712389381
pub 1 26 0 0.333944954 0.666055046
pub 1 27 0.033333333 0.245555556 0.721111111
pub 1 28 0.076923077 0.34 0.583076923
pub 1 29 0.1 0.234939759 0.665060241
pub 1 30 0.1 0.312 0.588
pub 1 31 0.1 0.296491228 0.603508772
pub 1 32 0.1 0.3 0.6
pub 1 33 0.1 0.3 0.6
pub 1 34 0.1 0.3 0.6
pub 1 35 0.1 0.3 0.6
pub 1 36 0.1 0.3 0.6
pub 1 37 0.1 0.3 0.6
pub 2 1 0 0 1
pub 2 2 0 0 1
pub 2 3 0 0.041666667 0.958333333
pub 2 4 0 0.119047619 0.880952381
pub 2 5 0 0.1 0.9
pub 2 6 0 0.15 0.85
pub 2 7 0 0.24137931 0.75862069
pub 2 8 0 0.157894737 0.842105263
pub 2 9 0 0.387234043 0.612765957
pub 2 10 0 0.275 0.725
pub 2 11 0 0.242424242 0.757575758
pub 2 12 0 0.263888889 0.736111111
pub 2 13 0 0.214285714 0.785714286
pub 2 14 0 0.20754717 0.79245283
pub 2 15 0 0.285606061 0.714393939
pub 2 16 0 0.262015504 0.737984496
pub 2 17 0 0.306369427 0.693630573
pub 2 18 0 0.267938931 0.732061069
pub 2 19 0 0.333057851 0.666942149
pub 2 20 0 0.295934959 0.704065041
pub 2 21 0 0.23442623 0.76557377
pub 2 22 0 0.226605505 0.773394495
pub 2 23 0 0.322018349 0.677981651
pub 2 24 0 0.2496 0.7504
pub 2 25 0 0.287610619 0.712389381
pub 2 26 0 0.333944954 0.666055046
pub 2 27 0.033333333 0.245555556 0.721111111
pub 2 28 0.076923077 0.34 0.583076923
pub 2 29 0.1 0.234939759 0.665060241
pub 2 30 0.1 0.312 0.588
pub 2 31 0.1 0.296491228 0.603508772
pub 2 32 0.1 0.3 0.6
pub 2 33 0.1 0.3 0.6
pub 2 34 0.1 0.3 0.6
pub 2 35 0.1 0.3 0.6
pub 2 36 0.1 0.3 0.6
pub 2 37 0.1 0.3 0.6
pub 3 1 0 0 1
pub 3 2 0 0 1
pub 3 3 0 0.041666667 0.958333333
pub 3 4 0 0.119047619 0.880952381
pub 3 5 0 0.1 0.9
pub 3 6 0 0.15 0.85
pub 3 7 0 0.24137931 0.75862069
pub 3 8 0 0.157894737 0.842105263
pub 3 9 0 0.387234043 0.612765957
pub 3 10 0 0.275 0.725
pub 3 11 0 0.242424242 0.757575758
pub 3 12 0 0.263888889 0.736111111
pub 3 13 0 0.214285714 0.785714286
pub 3 14 0 0.20754717 0.79245283
pub 3 15 0 0.285606061 0.714393939
pub 3 16 0 0.262015504 0.737984496
pub 3 17 0 0.306369427 0.693630573
pub 3 18 0 0.267938931 0.732061069
pub 3 19 0 0.333057851 0.666942149
pub 3 20 0 0.295934959 0.704065041
pub 3 21 0 0.23442623 0.76557377
pub 3 22 0 0.226605505 0.773394495
pub 3 23 0 0.322018349 0.677981651
pub 3 24 0 0.2496 0.7504
pub 3 25 0 0.287610619 0.712389381
pub 3 26 0 0.333944954 0.666055046
pub 3 27 0.033333333 0.245555556 0.721111111
pub 3 28 0.076923077 0.34 0.583076923
pub 3 29 0.1 0.234939759 0.665060241
pub 3 30 0.1 0.312 0.588
pub 3 31 0.1 0.296491228 0.603508772
pub 3 32 0.1 0.3 0.6
pub 3 33 0.1 0.3 0.6
pub 3 34 0.1 0.3 0.6
pub 3 35 0.1 0.3 0.6
pub 3 36 0.1 0.3 0.6
pub 3 37 0.1 0.3 0.6
pub 4 1 0 0 1
pub 4 2 0 0 1
pub 4 3 0 0.041666667 0.958333333
pub 4 4 0 0.119047619 0.880952381
pub 4 5 0 0.1 0.9
pub 4 6 0 0.15 0.85
pub 4 7 0 0.24137931 0.75862069
pub 4 8 0 0.157894737 0.842105263
pub 4 9 0 0.387234043 0.612765957
pub 4 10 0 0.275 0.725
pub 4 11 0 0.242424242 0.757575758
pub 4 12 0 0.263888889 0.736111111
pub 4 13 0 0.214285714 0.785714286
pub 4 14 0 0.20754717 0.79245283
pub 4 15 0 0.285606061 0.714393939
pub 4 16 0 0.262015504 0.737984496
pub 4 17 0 0.306369427 0.693630573
pub 4 18 0 0.267938931 0.732061069
pub 4 19 0 0.333057851 0.666942149
pub 4 20 0 0.295934959 0.704065041
pub 4 21 0 0.23442623 0.76557377
pub 4 22 0 0.226605505 0.773394495
pub 4 23 0 0.322018349 0.677981651
pub 4 24 0 0.2496 0.7504
pub 4 25 0 0.287610619 0.712389381
pub 4 26 0 0.333944954 0.666055046
pub 4 27 0.033333333 0.245555556 0.721111111
pub 4 28 0.076923077 0.34 0.583076923
pub 4 29 0.1 0.234939759 0.665060241
pub 4 30 0.1 0.312 0.588
pub 4 31 0.1 0.296491228 0.603508772
pub 4 32 0.1 0.3 0.6
pub 4 33 0.1 0.3 0.6
pub 4 34 0.1 0.3 0.6
pub 4 35 0.1 0.3 0.6
pub 4 36 0.1 0.3 0.6
pub 4 37 0.1 0.3 0.6
pub 5 1 0 0 1
pub 5 2 0 0 1
pub 5 3 0 0.041666667 0.958333333
pub 5 4 0 0.119047619 0.880952381
pub 5 5 0 0.1 0.9
pub 5 6 0 0.15 0.85
pub 5 7 0 0.24137931 0.75862069
pub 5 8 0 0.157894737 0.842105263
pub 5 9 0 0.387234043 0.612765957
pub 5 10 0 0.275 0.725
pub 5 11 0 0.242424242 0.757575758
pub 5 12 0 0.263888889 0.736111111
pub 5 13 0 0.214285714 0.785714286
pub 5 14 0 0.20754717 0.79245283
pub 5 15 0 0.285606061 0.714393939
pub 5 16 0 0.262015504 0.737984496
pub 5 17 0 0.306369427 0.693630573
pub 5 18 0 0.267938931 0.732061069
pub 5 19 0 0.333057851 0.666942149
pub 5 20 0 0.295934959 0.704065041
pub 5 21 0 0.23442623 0.76557377
pub 5 22 0 0.226605505 0.773394495
pub 5 23 0 0.322018349 0.677981651
pub 5 24 0 0.2496 0.7504
pub 5 25 0 0.287610619 0.712389381
pub 5 26 0 0.333944954 0.666055046
pub 5 27 0.033333333 0.245555556 0.721111111
pub 5 28 0.076923077 0.34 0.583076923
pub 5 29 0.1 0.234939759 0.665060241
pub 5 30 0.1 0.312 0.588
pub 5 31 0.1 0.296491228 0.603508772
pub 5 32 0.1 0.3 0.6
pub 5 33 0.1 0.3 0.6
pub 5 34 0.1 0.3 0.6
pub 5 35 0.1 0.3 0.6
pub 5 36 0.1 0.3 0.6
pub 5 37 0.1 0.3 0.6
pub 6 1 0 0 1
pub 6 2 0 0 1
pub 6 3 0 0.041666667 0.958333333
pub 6 4 0 0.119047619 0.880952381
pub 6 5 0 0.1 0.9
pub 6 6 0 0.15 0.85
pub 6 7 0 0.24137931 0.75862069
pub 6 8 0 0.157894737 0.842105263
pub 6 9 0 0.387234043 0.612765957
pub 6 10 0 0.275 0.725
pub 6 11 0 0.242424242 0.757575758
pub 6 12 0 0.263888889 0.736111111
pub 6 13 0 0.214285714 0.785714286
pub 6 14 0 0.20754717 0.79245283
pub 6 15 0 0.285606061 0.714393939
pub 6 16 0 0.262015504 0.737984496
pub 6 17 0 0.306369427 0.693630573
pub 6 18 0 0.267938931 0.732061069
pub 6 19 0 0.333057851 0.666942149
pub 6 20 0 0.295934959 0.704065041
pub 6 21 0 0.23442623 0.76557377
pub 6 22 0 0.226605505 0.773394495
pub 6 23 0 0.322018349 0.677981651
pub 6 24 0 0.2496 0.7504
pub 6 25 0 0.287610619 0.712389381
pub 6 26 0 0.333944954 0.666055046
pub 6 27 0.033333333 0.245555556 0.721111111
pub 6 28 0.076923077 0.34 0.583076923
pub 6 29 0.1 0.234939759 0.665060241
pub 6 30 0.1 0.312 0.588
pub 6 31 0.1 0.296491228 0.603508772
pub 6 32 0.1 0.3 0.6
pub 6 33 0.1 0.3 0.6
pub 6 34 0.1 0.3 0.6
pub 6 35 0.1 0.3 0.6
pub 6 36 0.1 0.3 0.6
pub 6 37 0.1 0.3 0.6
pub 7 1 0 0 1
pub 7 2 0 0 1
pub 7 3 0 0.041666667 0.958333333
pub 7 4 0 0.119047619 0.880952381
pub 7 5 0 0.1 0.9
pub 7 6 0 0.15 0.85
pub 7 7 0 0.24137931 0.75862069
pub 7 8 0 0.157894737 0.842105263
pub 7 9 0 0.387234043 0.612765957
pub 7 10 0 0.275 0.725
pub 7 11 0 0.242424242 0.757575758
pub 7 12 0 0.263888889 0.736111111
pub 7 13 0 0.214285714 0.785714286
pub 7 14 0 0.20754717 0.79245283
pub 7 15 0 0.285606061 0.714393939
pub 7 16 0 0.262015504 0.737984496
pub 7 17 0 0.306369427 0.693630573
pub 7 18 0 0.267938931 0.732061069
pub 7 19 0 0.333057851 0.666942149
pub 7 20 0 0.295934959 0.704065041
pub 7 21 0 0.23442623 0.76557377
pub 7 22 0 0.226605505 0.773394495
pub 7 23 0 0.322018349 0.677981651
pub 7 24 0 0.2496 0.7504
pub 7 25 0 0.287610619 0.712389381
pub 7 26 0 0.333944954 0.666055046
pub 7 27 0.033333333 0.245555556 0.721111111
pub 7 28 0.076923077 0.34 0.583076923
pub 7 29 0.1 0.234939759 0.665060241
pub 7 30 0.1 0.312 0.588
pub 7 31 0.1 0.296491228 0.603508772
pub 7 32 0.1 0.3 0.6
pub 7 33 0.1 0.3 0.6
pub 7 34 0.1 0.3 0.6
pub 7 35 0.1 0.3 0.6
pub 7 36 0.1 0.3 0.6
pub 7 37 0.1 0.3 0.6
pub 8 1 0 0 1
pub 8 2 0 0 1
pub 8 3 0 0.041666667 0.958333333
pub 8 4 0 0.119047619 0.880952381
pub 8 5 0 0.1 0.9
pub 8 6 0 0.15 0.85
pub 8 7 0 0.24137931 0.75862069
pub 8 8 0 0.157894737 0.842105263
pub 8 9 0 0.387234043 0.612765957
pub 8 10 0 0.275 0.725
pub 8 11 0 0.242424242 0.757575758
pub 8 12 0 0.263888889 0.736111111
pub 8 13 0 0.214285714 0.785714286
pub 8 14 0 0.20754717 0.79245283
pub 8 15 0 0.285606061 0.714393939
pub 8 16 0 0.262015504 0.737984496
pub 8 17 0 0.306369427 0.693630573
pub 8 18 0 0.267938931 0.732061069
pub 8 19 0 0.333057851 0.666942149
pub 8 20 0 0.295934959 0.704065041
pub 8 21 0 0.23442623 0.76557377
pub 8 22 0 0.226605505 0.773394495
pub 8 23 0 0.322018349 0.677981651
pub 8 24 0 0.2496 0.7504
pub 8 25 0 0.287610619 0.712389381
pub 8 26 0 0.333944954 0.666055046
pub 8 27 0.033333333 0.245555556 0.721111111
pub 8 28 0.076923077 0.34 0.583076923
pub 8 29 0.1 0.234939759 0.665060241
pub 8 30 0.1 0.312 0.588
pub 8 31 0.1 0.296491228 0.603508772
pub 8 32 0.1 0.3 0.6
pub 8 33 0.1 0.3 0.6
pub 8 34 0.1 0.3 0.6
pub 8 35 0.1 0.3 0.6
pub 8 36 0.1 0.3 0.6
pub 8 37 0.1 0.3 0.6
pub 9 1 0 0 1
pub 9 2 0 0 1
pub 9 3 0 0.041666667 0.958333333
pub 9 4 0 0.119047619 0.880952381
pub 9 5 0 0.1 0.9
pub 9 6 0 0.15 0.85
pub 9 7 0 0.24137931 0.75862069
pub 9 8 0 0.157894737 0.842105263
pub 9 9 0 0.387234043 0.612765957
pub 9 10 0 0.275 0.725
pub 9 11 0 0.242424242 0.757575758
pub 9 12 0 0.263888889 0.736111111
pub 9 13 0 0.214285714 0.785714286
pub 9 14 0 0.20754717 0.79245283
pub 9 15 0 0.285606061 0.714393939
pub 9 16 0 0.262015504 0.737984496
pub 9 17 0 0.306369427 0.693630573
pub 9 18 0 0.267938931 0.732061069
pub 9 19 0 0.333057851 0.666942149
pub 9 20 0 0.295934959 0.704065041
pub 9 21 0 0.23442623 0.76557377
pub 9 22 0 0.226605505 0.773394495
pub 9 23 0 0.322018349 0.677981651
pub 9 24 0 0.2496 0.7504
pub 9 25 0 0.287610619 0.712389381
pub 9 26 0 0.333944954 0.666055046
pub 9 27 0.033333333 0.245555556 0.721111111
pub 9 28 0.076923077 0.34 0.583076923
pub 9 29 0.1 0.234939759 0.665060241
pub 9 30 0.1 0.312 0.588
pub 9 31 0.1 0.296491228 0.603508772
pub 9 32 0.1 0.3 0.6
pub 9 33 0.1 0.3 0.6
pub 9 34 0.1 0.3 0.6
pub 9 35 0.1 0.3 0.6
pub 9 36 0.1 0.3 0.6
pub 9 37 0.1 0.3 0.6
pub 10 1 0 0 1
pub 10 2 0 0 1
pub 10 3 0 0.041666667 0.958333333
pub 10 4 0 0.119047619 0.880952381
pub 10 5 0 0.1 0.9
pub 10 6 0 0.15 0.85
pub 10 7 0 0.24137931 0.75862069
pub 10 8 0 0.157894737 0.842105263
pub 10 9 0 0.387234043 0.612765957
pub 10 10 0 0.275 0.725
pub 10 11 0 0.242424242 0.757575758
pub 10 12 0 0.263888889 0.736111111
pub 10 13 0 0.214285714 0.785714286
pub 10 14 0 0.20754717 0.79245283
pub 10 15 0 0.285606061 0.714393939
pub 10 16 0 0.262015504 0.737984496
pub 10 17 0 0.306369427 0.693630573
pub 10 18 0 0.267938931 0.732061069
pub 10 19 0 0.333057851 0.666942149
pub 10 20 0 0.295934959 0.704065041
pub 10 21 0 0.23442623 0.76557377
pub 10 22 0 0.226605505 0.773394495
pub 10 23 0 0.322018349 0.677981651
pub 10 24 0 0.2496 0.7504
pub 10 25 0 0.287610619 0.712389381
pub 10 26 0 0.333944954 0.666055046
pub 10 27 0.033333333 0.245555556 0.721111111
pub 10 28 0.076923077 0.34 0.583076923
pub 10 29 0.1 0.234939759 0.665060241
pub 10 30 0.1 0.312 0.588
pub 10 31 0.1 0.296491228 0.603508772
pub 10 32 0.1 0.3 0.6
pub 10 33 0.1 0.3 0.6
pub 10 34 0.1 0.3 0.6
pub 10 35 0.1 0.3 0.6
pub 10 36 0.1 0.3 0.6
pub 10 37 0.1 0.3 0.6
priv 1 1 0 0 1
priv 1 2 0 0 1
priv 1 3 0 0.041666667 0.958333333
priv 1 4 0 0.119047619 0.880952381
priv 1 5 0 0.1 0.9
priv 1 6 0 0.15 0.85
priv 1 7 0 0.24137931 0.75862069
priv 1 8 0 0.157894737 0.842105263
priv 1 9 0 0.387234043 0.612765957
priv 1 10 0 0.275 0.725
priv 1 11 0 0.242424242 0.757575758
priv 1 12 0 0.263888889 0.736111111
priv 1 13 0 0.214285714 0.785714286
priv 1 14 0 0.20754717 0.79245283
priv 1 15 0 0.285606061 0.714393939
priv 1 16 0 0.262015504 0.737984496
priv 1 17 0 0.306369427 0.693630573
priv 1 18 0 0.267938931 0.732061069
priv 1 19 0 0.333057851 0.666942149
priv 1 20 0 0.295934959 0.704065041
priv 1 21 0 0.23442623 0.76557377
priv 1 22 0 0.226605505 0.773394495
priv 1 23 0 0.322018349 0.677981651
priv 1 24 0 0.2496 0.7504
priv 1 25 0 0.287610619 0.712389381
priv 1 26 0 0.333944954 0.666055046
priv 1 27 0.033333333 0.245555556 0.721111111
priv 1 28 0.076923077 0.34 0.583076923
priv 1 29 0.1 0.234939759 0.665060241
priv 1 30 0.1 0.312 0.588
priv 1 31 0.1 0.296491228 0.603508772
priv 1 32 0.1 0.3 0.6
priv 1 33 0.1 0.3 0.6
priv 1 34 0.1 0.3 0.6
priv 1 35 0.1 0.3 0.6
priv 1 36 0.1 0.3 0.6
priv 1 37 0.1 0.3 0.6
priv 2 1 0 0 1
priv 2 2 0 0 1
priv 2 3 0 0.041666667 0.958333333
priv 2 4 0 0.119047619 0.880952381
priv 2 5 0 0.1 0.9
priv 2 6 0 0.15 0.85
priv 2 7 0 0.24137931 0.75862069
priv 2 8 0 0.157894737 0.842105263
priv 2 9 0 0.387234043 0.612765957
priv 2 10 0 0.275 0.725
priv 2 11 0 0.242424242 0.757575758
priv 2 12 0 0.263888889 0.736111111
priv 2 13 0 0.214285714 0.785714286
priv 2 14 0 0.20754717 0.79245283
priv 2 15 0 0.285606061 0.714393939
priv 2 16 0 0.262015504 0.737984496
priv 2 17 0 0.306369427 0.693630573
priv 2 18 0 0.267938931 0.732061069
priv 2 19 0 0.333057851 0.666942149
priv 2 20 0 0.295934959 0.704065041
priv 2 21 0 0.23442623 0.76557377
priv 2 22 0 0.226605505 0.773394495
priv 2 23 0 0.322018349 0.677981651
priv 2 24 0 0.2496 0.7504
priv 2 25 0 0.287610619 0.712389381
priv 2 26 0 0.333944954 0.666055046
priv 2 27 0.033333333 0.245555556 0.721111111
priv 2 28 0.076923077 0.34 0.583076923
priv 2 29 0.1 0.234939759 0.665060241
priv 2 30 0.1 0.312 0.588
priv 2 31 0.1 0.296491228 0.603508772
priv 2 32 0.1 0.3 0.6
priv 2 33 0.1 0.3 0.6
priv 2 34 0.1 0.3 0.6
priv 2 35 0.1 0.3 0.6
priv 2 36 0.1 0.3 0.6
priv 2 37 0.1 0.3 0.6
priv 3 1 0 0 1
priv 3 2 0 0 1
priv 3 3 0 0.041666667 0.958333333
priv 3 4 0 0.119047619 0.880952381
priv 3 5 0 0.1 0.9
priv 3 6 0 0.15 0.85
priv 3 7 0 0.24137931 0.75862069
priv 3 8 0 0.157894737 0.842105263
priv 3 9 0 0.387234043 0.612765957
priv 3 10 0 0.275 0.725
priv 3 11 0 0.242424242 0.757575758
priv 3 12 0 0.263888889 0.736111111
priv 3 13 0 0.214285714 0.785714286
priv 3 14 0 0.20754717 0.79245283
priv 3 15 0 0.285606061 0.714393939
priv 3 16 0 0.262015504 0.737984496
priv 3 17 0 0.306369427 0.693630573
priv 3 18 0 0.267938931 0.732061069
priv 3 19 0 0.333057851 0.666942149
priv 3 20 0 0.295934959 0.704065041
priv 3 21 0 0.23442623 0.76557377
priv 3 22 0 0.226605505 0.773394495
priv 3 23 0 0.322018349 0.677981651
priv 3 24 0 0.2496 0.7504
priv 3 25 0 0.287610619 0.712389381
priv 3 26 0 0.333944954 0.666055046
priv 3 27 0.033333333 0.245555556 0.721111111
priv 3 28 0.076923077 0.34 0.583076923
priv 3 29 0.1 0.234939759 0.665060241
priv 3 30 0.1 0.312 0.588
priv 3 31 0.1 0.296491228 0.603508772
priv 3 32 0.1 0.3 0.6
priv 3 33 0.1 0.3 0.6
priv 3 34 0.1 0.3 0.6
priv 3 35 0.1 0.3 0.6
priv 3 36 0.1 0.3 0.6
priv 3 37 0.1 0.3 0.6
priv 4 1 0 0 1
priv 4 2 0 0 1
priv 4 3 0 0.041666667 0.958333333
priv 4 4 0 0.119047619 0.880952381
priv 4 5 0 0.1 0.9
priv 4 6 0 0.15 0.85
priv 4 7 0 0.24137931 0.75862069
priv 4 8 0 0.157894737 0.842105263
priv 4 9 0 0.387234043 0.612765957
priv 4 10 0 0.275 0.725
priv 4 11 0 0.242424242 0.757575758
priv 4 12 0 0.263888889 0.736111111
priv 4 13 0 0.214285714 0.785714286
priv 4 14 0 0.20754717 0.79245283
priv 4 15 0 0.285606061 0.714393939
priv 4 16 0 0.262015504 0.737984496
priv 4 17 0 0.306369427 0.693630573
priv 4 18 0 0.267938931 0.732061069
priv 4 19 0 0.333057851 0.666942149
priv 4 20 0 0.295934959 0.704065041
priv 4 21 0 0.23442623 0.76557377
priv 4 22 0 0.226605505 0.773394495
priv 4 23 0 0.322018349 0.677981651
priv 4 24 0 0.2496 0.7504
priv 4 25 0 0.287610619 0.712389381
priv 4 26 0 0.333944954 0.666055046
priv 4 27 0.033333333 0.245555556 0.721111111
priv 4 28 0.076923077 0.34 0.583076923
priv 4 29 0.1 0.234939759 0.665060241
priv 4 30 0.1 0.312 0.588
priv 4 31 0.1 0.296491228 0.603508772
priv 4 32 0.1 0.3 0.6
priv 4 33 0.1 0.3 0.6
priv 4 34 0.1 0.3 0.6
priv 4 35 0.1 0.3 0.6
priv 4 36 0.1 0.3 0.6
priv 4 37 0.1 0.3 0.6
priv 5 1 0 0 1
priv 5 2 0 0 1
priv 5 3 0 0.041666667 0.958333333
priv 5 4 0 0.119047619 0.880952381
priv 5 5 0 0.1 0.9
priv 5 6 0 0.15 0.85
priv 5 7 0 0.24137931 0.75862069
priv 5 8 0 0.157894737 0.842105263
priv 5 9 0 0.387234043 0.612765957
priv 5 10 0 0.275 0.725
priv 5 11 0 0.242424242 0.757575758
priv 5 12 0 0.263888889 0.736111111
priv 5 13 0 0.214285714 0.785714286
priv 5 14 0 0.20754717 0.79245283
priv 5 15 0 0.285606061 0.714393939
priv 5 16 0 0.262015504 0.737984496
priv 5 17 0 0.306369427 0.693630573
priv 5 18 0 0.267938931 0.732061069
priv 5 19 0 0.333057851 0.666942149
priv 5 20 0 0.295934959 0.704065041
priv 5 21 0 0.23442623 0.76557377
priv 5 22 0 0.226605505 0.773394495
priv 5 23 0 0.322018349 0.677981651
priv 5 24 0 0.2496 0.7504
priv 5 25 0 0.287610619 0.712389381
priv 5 26 0 0.333944954 0.666055046
priv 5 27 0.033333333 0.245555556 0.721111111
priv 5 28 0.076923077 0.34 0.583076923
priv 5 29 0.1 0.234939759 0.665060241
priv 5 30 0.1 0.312 0.588
priv 5 31 0.1 0.296491228 0.603508772
priv 5 32 0.1 0.3 0.6
priv 5 33 0.1 0.3 0.6
priv 5 34 0.1 0.3 0.6
priv 5 35 0.1 0.3 0.6
priv 5 36 0.1 0.3 0.6
priv 5 37 0.1 0.3 0.6
priv 6 1 0 0 1
priv 6 2 0 0 1
priv 6 3 0 0.041666667 0.958333333
priv 6 4 0 0.119047619 0.880952381
priv 6 5 0 0.1 0.9
priv 6 6 0 0.15 0.85
priv 6 7 0 0.24137931 0.75862069
priv 6 8 0 0.157894737 0.842105263
priv 6 9 0 0.387234043 0.612765957
priv 6 10 0 0.275 0.725
priv 6 11 0 0.242424242 0.757575758
priv 6 12 0 0.263888889 0.736111111
priv 6 13 0 0.214285714 0.785714286
priv 6 14 0 0.20754717 0.79245283
priv 6 15 0 0.285606061 0.714393939
priv 6 16 0 0.262015504 0.737984496
priv 6 17 0 0.306369427 0.693630573
priv 6 18 0 0.267938931 0.732061069
priv 6 19 0 0.333057851 0.666942149
priv 6 20 0 0.295934959 0.704065041
priv 6 21 0 0.23442623 0.76557377
priv 6 22 0 0.226605505 0.773394495
priv 6 23 0 0.322018349 0.677981651
priv 6 24 0 0.2496 0.7504
priv 6 25 0 0.287610619 0.712389381
priv 6 26 0 0.333944954 0.666055046
priv 6 27 0.033333333 0.245555556 0.721111111
priv 6 28 0.076923077 0.34 0.583076923
priv 6 29 0.1 0.234939759 0.665060241
