vol age ownership area
1 1 pub 0
1 2 pub 6626.62
1 3 pub 0
1 4 pub 1390.28
1 5 pub 1331.42
1 6 pub 965.11
1 7 pub 910.57
1 8 pub 203.54
1 9 pub 244.4
1 10 pub 203.54
1 11 pub 0
1 12 pub 201.07
1 13 pub 227.21
1 14 pub 318.92
1 15 pub 0
1 16 pub 0
1 17 pub 0
1 18 pub 0
1 19 pub 0
1 20 pub 241.77
1 21 pub 0
1 22 pub 0
1 23 pub 200.15
1 24 pub 0
1 25 pub 0
1 26 pub 244.4
1 27 pub 252.61
1 28 pub 0
1 29 pub 154.45
1 30 pub 0
1 31 pub 0
2 1 pub 0
2 2 pub 529.09
2 3 pub 0
2 4 pub 239.29
2 5 pub 868.48
2 6 pub 2134.74
2 7 pub 1180.6
2 8 pub 477.94
2 9 pub 239.29
2 10 pub 244.4
2 11 pub 261.9
2 12 pub 417.65
2 13 pub 0
2 14 pub 0
2 15 pub 211.06
2 16 pub 229.12
2 17 pub 0
2 18 pub 633.74
2 19 pub 241.71
2 20 pub 452.01
2 21 pub 211.06
2 22 pub 196.71
2 23 pub 0
2 24 pub 0
2 25 pub 0
2 26 pub 0
2 27 pub 461.36
2 28 pub 0
2 29 pub 0
2 30 pub 0
2 31 pub 1181.86
3 1 pub 0
3 2 pub 288.06
3 3 pub 0
3 4 pub 0
3 5 pub 511.46
3 6 pub 0
3 7 pub 954.84
3 8 pub 671.01
3 9 pub 1462.09
3 10 pub 521.05
3 11 pub 954.46
3 12 pub 223.16
3 13 pub 448.03
3 14 pub 952.36
3 15 pub 453.55
3 16 pub 704.6
3 17 pub 558.07
3 18 pub 487.18
3 19 pub 0
3 20 pub 284.84
3 21 pub 412.35
3 22 pub 457.26
3 23 pub 0
3 24 pub 230.42
3 25 pub 596.74
3 26 pub 200.15
3 27 pub 1163.78
3 28 pub 456.21
3 29 pub 0
3 30 pub 212.86
3 31 pub 1539.88
4 1 pub 0
4 2 pub 201.95
4 3 pub 0
4 4 pub 0
4 5 pub 203.54
4 6 pub 408.13
4 7 pub 1620.64
4 8 pub 1222
4 9 pub 1064.01
4 10 pub 975.76
4 11 pub 295
4 12 pub 398.33
4 13 pub 823.17
4 14 pub 211.06
4 15 pub 639.18
4 16 pub 233.05
4 17 pub 181.93
4 18 pub 201.07
