vol age ownership area
1 1 pub 0
1 2 pub 1368.35
1 3 pub 0
1 4 pub 619.66
1 5 pub 678.02
1 6 pub 1069.68
1 7 pub 203.54
1 8 pub 282.39
1 9 pub 0
1 10 pub 0
1 11 pub 0
1 12 pub 0
1 13 pub 0
1 14 pub 0
1 15 pub 0
1 16 pub 200.04
1 17 pub 466.25
2 1 pub 0
2 2 pub 0
2 3 pub 211.45
2 4 pub 275.8
2 5 pub 0
2 6 pub 1020.78
2 7 pub 977.83
2 8 pub 1055.38
2 9 pub 409.59
2 10 pub 245.27
2 11 pub 284.84
2 12 pub 241.1
2 13 pub 239.56
2 14 pub 401.99
2 15 pub 406.66
2 16 pub 200.92
2 17 pub 908.83
3 1 pub 0
3 2 pub 0
3 3 pub 201.95
3 4 pub 0
3 5 pub 637.94
3 6 pub 196.71
3 7 pub 1494.6
3 8 pub 437.06
3 9 pub 222.88
3 10 pub 1567.82
3 11 pub 282.39
3 12 pub 504.96
3 13 pub 1004.54
3 14 pub 232.5
3 15 pub 222.41
3 16 pub 318.92
3 17 pub 967.74
4 1 pub 0
4 2 pub 202.27
4 3 pub 0
4 4 pub 0
4 5 pub 633.86
4 6 pub 468.92
4 7 pub 419.87
4 8 pub 935.92
4 9 pub 465.89
4 10 pub 368.76
4 11 pub 558.67
4 12 pub 659.09
4 13 pub 194.28
4 14 pub 299.75
4 15 pub 244.21
4 16 pub 224.2
4 17 pub 1316.74
5 1 pub 0
5 2 pub 0
5 3 pub 0
5 4 pub 0
5 5 pub 265.9
5 6 pub 250.21
5 7 pub 1014.32
5 8 pub 354.73
5 9 pub 611.94
5 10 pub 890.73
5 11 pub 372.43
5 12 pub 486.49
5 13 pub 705.98
5 14 pub 1035.6
5 15 pub 0
5 16 pub 0
5 17 pub 934.82
6 1 pub 0
6 2 pub 0
6 3 pub 0
6 4 pub 0
6 5 pub 0
6 6 pub 619.11
6 7 pub 656.41
6 8 pub 842.94
6 9 pub 489.27
6 10 pub 1289.47
6 11 pub 1229.45
6 12 pub 0
6 13 pub 404.86
6 14 pub 0
6 15 pub 0
6 16 pub 211.06
6 17 pub 1503.81
7 1 pub 0
7 2 pub 0
7 3 pub 0
7 4 pub 0
7 5 pub 0
7 6 pub 675.7
7 7 pub 506.31
7 8 pub 385.34
7 9 pub 1620.43
7 10 pub 676.32
7 11 pub 202.26
7 12 pub 306.16
7 13 pub 393.71
7 14 pub 411.05
7 15 pub 719.82
7 16 pub 415.32
7 17 pub 1277.04
8 1 pub 0
8 2 pub 0
8 3 pub 0
8 4 pub 0
8 5 pub 0
8 6 pub 202.26
8 7 pub 433.94
8 8 pub 154.45
8 9 pub 418.31
8 10 pub 912.98
8 11 pub 1372.72
8 12 pub 484.96
8 13 pub 211.78
8 14 pub 518.51
8 15 pub 0
8 16 pub 241.11
8 17 pub 416.72
9 1 pub 0
9 2 pub 0
9 3 pub 0
9 4 pub 0
9 5 pub 0
9 6 pub 0
9 7 pub 0
9 8 pub 480.06
9 9 pub 161.37
9 10 pub 239.15
9 11 pub 178.46
9 12 pub 181.93
9 13 pub 0
9 14 pub 634.91
9 15 pub 217.61
9 16 pub 0
9 17 pub 903.64
10 1 pub 0
10 2 pub 0
10 3 pub 0
10 4 pub 0
10 5 pub 0
10 6 pub 0
10 7 pub 585.66
10 8 pub 443.17
10 9 pub 854.62
10 10 pub 1399.78
10 11 pub 473.38
10 12 pub 0
10 13 pub 288.06
10 14 pub 181.93
10 15 pub 181.93
10 16 pub 0
10 17 pub 0
1 1 priv 0
1 2 priv 8869.04
1 3 priv 3296.79
1 4 priv 1862.2
1 5 priv 1017.79
1 6 priv 1088.67
1 7 priv 1260.85
1 8 priv 0
1 9 priv 196.49
1 10 priv 209.14
1 11 priv 0
1 12 priv 0
1 13 priv 205.5
1 14 priv 0
1 15 priv 423.71
1 16 priv 0
1 17 priv 270.73
2 1 priv 0
2 2 priv 0
2 3 priv 432.62
2 4 priv 2120.53
2 5 priv 1075.69
2 6 priv 1585.75
2 7 priv 837.05
2 8 priv 1860.42
