vol age ownership area
1 1 pub 0
1 2 pub 9556.38
1 3 pub 650.39
1 4 pub 3338.78
1 5 pub 1053.66
1 6 pub 231.39
1 7 pub 250.21
1 8 pub 309.48
1 9 pub 221.74
1 10 pub 192.63
1 11 pub 211.06
1 12 pub 202.27
1 13 pub 0
1 14 pub 0
1 15 pub 275.8
1 16 pub 245.27
1 17 pub 0
1 18 pub 222.41
1 19 pub 0
1 20 pub 0
1 21 pub 212.84
1 22 pub 0
1 23 pub 0
1 24 pub 241.77
1 25 pub 211.06
1 26 pub 0
1 27 pub 0
1 28 pub 0
1 29 pub 0
1 30 pub 0
1 31 pub 0
1 32 pub 0
1 33 pub 0
1 34 pub 0
1 35 pub 0
1 36 pub 0
1 37 pub 0
2 1 pub 0
2 2 pub 210.05
2 3 pub 0
2 4 pub 959.18
2 5 pub 2582.56
2 6 pub 824.41
2 7 pub 0
2 8 pub 870.84
2 9 pub 0
2 10 pub 1052.51
2 11 pub 767.93
2 12 pub 679.24
2 13 pub 812.84
2 14 pub 466.75
2 15 pub 200.92
2 16 pub 508.23
2 17 pub 0
2 18 pub 0
2 19 pub 655.77
2 20 pub 470.52
2 21 pub 0
2 22 pub 431.77
2 23 pub 443.28
2 24 pub 434.92
2 25 pub 623.25
2 26 pub 231.14
2 27 pub 831.63
2 28 pub 458.44
2 29 pub 0
2 30 pub 0
2 31 pub 282.39
2 32 pub 632.98
2 33 pub 0
2 34 pub 0
2 35 pub 0
2 36 pub 404.5
2 37 pub 227.21
3 1 pub 0
3 2 pub 245.27
3 3 pub 0
3 4 pub 288.06
3 5 pub 1584.72
3 6 pub 1705.99
3 7 pub 992.73
3 8 pub 469.98
3 9 pub 434.91
3 10 pub 929.18
3 11 pub 210.05
3 12 pub 917.88
3 13 pub 1127.38
3 14 pub 1687.63
3 15 pub 582.35
3 16 pub 877.5
3 17 pub 934.48
3 18 pub 1209.15
3 19 pub 1091.39
3 20 pub 229.12
3 21 pub 849.7
3 22 pub 1108.35
3 23 pub 0
3 24 pub 902.17
3 25 pub 1107.82
3 26 pub 1115.35
3 27 pub 197.88
