"vol" "age" "ownership" "step0.nomgmt" "step0.thin" "step0.finalfell" "step1.nomgmt" "step1.thin" "step1.finalfell" "step2.nomgmt" "step2.thin" "step2.finalfell" "step3.nomgmt" "step3.thin" "step3.finalfell" "step4.nomgmt" "step4.thin" "step4.finalfell" "step5.nomgmt" "step5.thin" "step5.finalfell"
"2" "1" "1" "pub" 0 0 0 7007.71145914552 0 0 7340.3325352472 0 0 7701.2909210011 0 0 7968.94619840037 0 0 8016.73072819064 0 0
"150" "2" "1" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"224" "3" "1" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"298" "4" "1" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"372" "5" "1" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"446" "6" "1" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"520" "7" "1" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"594" "8" "1" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"668" "9" "1" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"76" "10" "1" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"24" "1" "2" "pub" 9556.38 0 0 0 0 0 6920.1150659062 0 0 7248.57837855661 0 0 7605.02478448859 0 0 7869.33437092037 0 0
"172" "2" "2" "pub" 210.05 0 0 0 0 0 87.596393239319 0 0 91.75415669059 0 0 96.2661365125138 0 0 99.6118274800047 0 0
"246" "3" "2" "pub" 245.27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"320" "4" "2" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"394" "5" "2" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"468" "6" "2" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"542" "7" "2" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"616" "8" "2" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"690" "9" "2" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"98" "10" "2" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"46" "1" "3" "pub" 623.29041644987 27.09958355013 0 9158.19749681454 398.18250318546 0 0 0 0 6631.7769358534 288.338130052797 0 6946.55427703389 302.024101522718 0 7288.14874926656 316.876035222033 0
"194" "2" "3" "pub" 0 0 0 201.29791659665 8.75208340335 0 0 0 0 83.9465434918152 3.64984974750375 0 87.9310667978974 3.82308989269263 0 92.2550474590703 4.01108905344345 0
"268" "3" "3" "pub" 0 0 0 235.05041658491 10.21958341509 0 0 0 0 0 0 0 0 0 0 0 0 0
"342" "4" "3" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"416" "5" "3" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"490" "6" "3" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"564" "7" "3" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"638" "8" "3" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"712" "9" "3" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"120" "10" "3" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"64" "1" "4" "pub" 2941.30619063518 397.47380936482 0 433.215638815519 58.5426538674076 0 6371.20005822107 860.972980449757 0 0 0 0 4611.82250794661 623.219257547648 0 4830.72269730604 652.800364204409 0
