"vol" "age" "ownership" "step0" "step1" "step2" "step3" "step4" "step5" "step6" "step7" "step8" "step9" "step10" "step11" "step12" "step13" "step14" "step15" "step16" "step17" "step18" "step19" "step20"
"2" "1" "1" "pub" 0 7007.71145914552 7340.3325352472 7701.2909210011 7968.94619840037 8016.73072819064 8006.76853360833 8067.62865485572 8200.86529692261 8266.8722320482 8288.63775184343 8207.46799071796 8091.20876498235 7946.48439702326 7809.30041840606 7633.56609762365 7389.34669332316 7035.9081987051 6706.60442157305 6398.76888809535 6102.92735768098
"150" "2" "1" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"224" "3" "1" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"298" "4" "1" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"372" "5" "1" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"446" "6" "1" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"520" "7" "1" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"594" "8" "1" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"668" "9" "1" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"76" "10" "1" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"24" "1" "2" "pub" 9556.38 0 6920.1150659062 7248.57837855661 7605.02478448859 7869.33437092037 7916.52159408826 7906.68392693822 7966.78329667003 8098.35448071108 8163.53632914759 8185.02977994539 8104.87464083399 7990.06865542007 7847.15334206047 7711.68416317599 7538.14652140336 7296.97985965662 6947.95934622129 6622.77186630338 6318.78427699416
"172" "2" "2" "pub" 210.05 0 87.596393239319 91.75415669059 96.2661365125138 99.6118274800047 100.209134102383 100.084606670104 100.845358185697 102.510816211533 103.335902900602 103.607971898043 102.593349883974 101.140109562279 99.3310549627908 97.6162552300758 95.4195762202957 92.3668336665395 87.9488524838137 83.8325552696631 79.9846111011919
"246" "3" "2" "pub" 245.27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"320" "4" "2" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"394" "5" "2" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"468" "6" "2" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"542" "7" "2" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"616" "8" "2" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"690" "9" "2" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"98" "10" "2" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"46" "1" "3" "pub" 650.39 9556.38 0 6920.1150659062 7248.57837855661 7605.02478448859 7869.33437092037 7916.52159408826 7906.68392693822 7966.78329667003 8098.35448071108 8163.53632914759 8185.02977994539 8104.87464083399 7990.06865542007 7847.15334206047 7711.68416317599 7538.14652140336 7296.97985965662 6947.95934622129 6622.77186630338
"194" "2" "3" "pub" 0 210.05 0 87.596393239319 91.75415669059 96.2661365125138 99.6118274800047 100.209134102383 100.084606670104 100.845358185697 102.510816211533 103.335902900602 103.607971898043 102.593349883974 101.140109562279 99.3310549627908 97.6162552300758 95.4195762202957 92.3668336665395 87.9488524838137 83.8325552696631
"268" "3" "3" "pub" 0 245.27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"342" "4" "3" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"416" "5" "3" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"490" "6" "3" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"564" "7" "3" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
