vol age owner nuts species area
1 1 communal DE1 beech 7467.20969595574
1 1 communal DE1 spruce 10056.2220164017
1 1 communal DE2 beech 2027.57808554592
1 1 communal DE2 spruce 7684.716398212
1 1 communal DE3_4 beech 557.750697998262
1 1 communal DE3_4 spruce 0
1 1 communal DE7 beech 10635.0759339123
1 1 communal DE7 spruce 8237.61218740385
1 1 communal DE8 beech 665.844094409345
1 1 communal DE8 spruce 344.319491096386
1 1 communal DE9_5_6 beech 248.303732658721
1 1 communal DE9_5_6 spruce 923.966274792479
1 1 communal DEA beech 156.057865375796
1 1 communal DEA spruce 1493.42441020468
1 1 communal DEB beech 6760.9520944872
1 1 communal DEB spruce 8234.70655291068
1 1 communal DEC beech 1342.16874625356
1 1 communal DEC spruce 418.624828550529
1 1 communal DED beech 0
1 1 communal DED spruce 1938.93455913149
1 1 communal DEE beech 0
1 1 communal DEE spruce 398.806904622586
1 1 communal DEF beech 256.888019963045
1 1 communal DEF spruce 99.5505050505051
1 1 communal DEG beech 42.8977844196419
1 1 communal DEG spruce 1671.14888270821
1 1 land DE1 beech 6192.66167905119
1 1 land DE1 spruce 14015.2996019193
1 1 land DE2 beech 12942.6009835707
1 1 land DE2 spruce 25038.2782709275
1 1 land DE3_4 beech 389.358384974351
1 1 land DE3_4 spruce 1238.35264183968
1 1 land DE7 beech 14398.8250891057
1 1 land DE7 spruce 7954.75295224554
1 1 land DE8 beech 2624.48769975929
1 1 land DE8 spruce 1331.27111126868
1 1 land DE9_5_6 beech 4830.74479436995
1 1 land DE9_5_6 spruce 1764.34824937451
1 1 land DEA beech 2910.51833843035
1 1 land DEA spruce 1450.62553233418
1 1 land DEB beech 5353.09893411232
1 1 land DEB spruce 4539.81873589517
1 1 land DEC beech 516.102053088059
1 1 land DEC spruce 205.222376237924
1 1 land DED beech 509.847109354137
1 1 land DED spruce 7078.46987102001
1 1 land DEE beech 548.107904302788
1 1 land DEE spruce 3190.4551894392
1 1 land DEF beech 792.740765309883
1 1 land DEF spruce 398.972688551955
1 1 land DEG beech 1563.27243479632
1 1 land DEG spruce 5180.42428382641
1 1 national DE1 beech 153.465554512621
1 1 national DE1 spruce 67.5115471519381
1 1 national DE2 beech 345.853264526199
1 1 national DE2 spruce 815.197701376139
1 1 national DE3_4 beech 0
1 1 national DE3_4 spruce 159.007368621466
1 1 national DE7 beech 399.750473305566
1 1 national DE7 spruce 0
1 1 national DE8 beech 305.68220676818
1 1 national DE8 spruce 651.55346327774
1 1 national DE9_5_6 beech 187.943508651202
1 1 national DE9_5_6 spruce 467.393035081522
1 1 national DEA beech 0
1 1 national DEA spruce 156.374227415853
1 1 national DEB beech 401.255143437149
1 1 national DEB spruce 273.93628410212
1 1 national DEC beech 0
1 1 national DEC spruce 0
1 1 national DED beech 0
1 1 national DED spruce 338.758078667834
1 1 national DEE beech 0
1 1 national DEE spruce 0
1 1 national DEF beech 5.6487030482691
1 1 national DEF spruce 0
1 1 national DEG beech 85.1482903130532
1 1 national DEG spruce 249.584964752006
1 1 private DE1 beech 5186.80269065596
1 1 private DE1 spruce 21133.9171566185
1 1 private DE2 beech 9641.81126274403
1 1 private DE2 spruce 58016.2531275316
1 1 private DE3_4 beech 67.1458194458725
1 1 private DE3_4 spruce 790.145288835277
1 1 private DE7 beech 5313.44790936775
1 1 private DE7 spruce 6690.74018109693
1 1 private DE8 beech 506.491775697144
1 1 private DE8 spruce 1215.90333482181
1 1 private DE9_5_6 beech 3430.15127455088
1 1 private DE9_5_6 spruce 5760.36126776565
1 1 private DEA beech 6078.5243259649
1 1 private DEA spruce 18981.4971153311
1 1 private DEB beech 2192.99407468691
1 1 private DEB spruce 4130.02308721685
1 1 private DEC beech 92.8526322560356
1 1 private DEC spruce 205.705318409113
1 1 private DED beech 274.453017292258
1 1 private DED spruce 3662.57744589343
1 1 private DEE beech 2126.05964737518
1 1 private DEE spruce 2808.16946882968
1 1 private DEF beech 1200.04201989326
1 1 private DEF spruce 521.477018199334
1 1 private DEG beech 1092.61421101919
1 1 private DEG spruce 8919.9579073262
1 2 communal DE1 beech 364.54100742841
1 2 communal DE1 spruce 397.034851696427
1 2 communal DE2 beech 0
1 2 communal DE2 spruce 773.027460605963
1 2 communal DE3_4 beech 0
1 2 communal DE3_4 spruce 0
1 2 communal DE7 beech 139.889324742481
1 2 communal DE7 spruce 982.664352985087
1 2 communal DE8 beech 0
1 2 communal DE8 spruce 0
1 2 communal DE9_5_6 beech 0
1 2 communal DE9_5_6 spruce 397.707273697315
1 2 communal DEA beech 0
1 2 communal DEA spruce 398.361893629456
1 2 communal DEB beech 199.155687120566
1 2 communal DEB spruce 828.024644800851
1 2 communal DEC beech 395.41389329085
1 2 communal DEC spruce 0
1 2 communal DED beech 0
1 2 communal DED spruce 0
1 2 communal DEE beech 0
1 2 communal DEE spruce 0
1 2 communal DEF beech 0
1 2 communal DEF spruce 50.7474669618438
1 2 communal DEG beech 0
1 2 communal DEG spruce 399.659585666941
1 2 land DE1 beech 139.699852950393
1 2 land DE1 spruce 426.554746416673
1 2 land DE2 beech 112.068990564262
1 2 land DE2 spruce 2696.15926510157
1 2 land DE3_4 beech 0
1 2 land DE3_4 spruce 236.766033853343
1 2 land DE7 beech 509.96793454222
1 2 land DE7 spruce 0
1 2 land DE8 beech 199.948569702723
1 2 land DE8 spruce 50.0928300389368
1 2 land DE9_5_6 beech 397.707321107716
1 2 land DE9_5_6 spruce 548.20644937854
1 2 land DEA beech 632.241336395237
1 2 land DEA spruce 0
1 2 land DEB beech 20.6552411814331
1 2 land DEB spruce 99.577843560283
1 2 land DEC beech 0
1 2 land DEC spruce 0
1 2 land DED beech 0
1 2 land DED spruce 1012.77745012805
1 2 land DEE beech 0
1 2 land DEE spruce 0
1 2 land DEF beech 0
1 2 land DEF spruce 0
1 2 land DEG beech 0
1 2 land DEG spruce 498.66816679007
1 2 national DE1 beech 0
1 2 national DE1 spruce 0
1 2 national DE2 beech 0
1 2 national DE2 spruce 0
1 2 national DE3_4 beech 0
1 2 national DE3_4 spruce 0
1 2 national DE7 beech 0
1 2 national DE7 spruce 0
1 2 national DE8 beech 0
1 2 national DE8 spruce 99.9742848513613
1 2 national DE9_5_6 beech 0
1 2 national DE9_5_6 spruce 397.707273697315
1 2 national DEA beech 0
1 2 national DEA spruce 141.191841264707
1 2 national DEB beech 0
1 2 national DEB spruce 0
1 2 national DEC beech 0
1 2 national DEC spruce 0
1 2 national DED beech 0
1 2 national DED spruce 0
1 2 national DEE beech 0
1 2 national DEE spruce 0
1 2 national DEF beech 0
1 2 national DEF spruce 0
1 2 national DEG beech 0
1 2 national DEG spruce 0
1 2 private DE1 beech 188.271863199392
1 2 private DE1 spruce 1142.60749193053
1 2 private DE2 beech 399.603301424587
1 2 private DE2 spruce 3629.07754047862
1 2 private DE3_4 beech 0
1 2 private DE3_4 spruce 0
1 2 private DE7 beech 0
1 2 private DE7 spruce 399.750473305566
1 2 private DE8 beech 0
1 2 private DE8 spruce 138.976488200101
1 2 private DE9_5_6 beech 397.707273697315
1 2 private DE9_5_6 spruce 1851.62022426777
1 2 private DEA beech 0
1 2 private DEA spruce 1771.38167165372
1 2 private DEB beech 99.577855430887
1 2 private DEB spruce 505.856280501934
1 2 private DEC beech 0
1 2 private DEC spruce 0
1 2 private DED beech 0
1 2 private DED spruce 0
1 2 private DEE beech 0
1 2 private DEE spruce 0
1 2 private DEF beech 0
1 2 private DEF spruce 57.9886241859258
1 2 private DEG beech 200.194405789034
1 2 private DEG spruce 1273.00241430685
1 3 communal DE1 beech 200.048277251696
1 3 communal DE1 spruce 300.072421839447
1 3 communal DE2 beech 399.603349061013
1 3 communal DE2 spruce 199.801592039801
1 3 communal DE3_4 beech 0
1 3 communal DE3_4 spruce 0
1 3 communal DE7 beech 0
1 3 communal DE7 spruce 399.750473305566
1 3 communal DE8 beech 0
1 3 communal DE8 spruce 0
1 3 communal DE9_5_6 beech 0
1 3 communal DE9_5_6 spruce 0
1 3 communal DEA beech 0
1 3 communal DEA spruce 398.361846141018
1 3 communal DEB beech 0
1 3 communal DEB spruce 108.149725404484
1 3 communal DEC beech 395.413822585344
1 3 communal DEC spruce 0
1 3 communal DED beech 0
1 3 communal DED spruce 0
1 3 communal DEE beech 0
1 3 communal DEE spruce 0
1 3 communal DEF beech 99.5505050505051
1 3 communal DEF spruce 0
1 3 communal DEG beech 200.194405789034
1 3 communal DEG spruce 200.194405789034
1 3 land DE1 beech 464.008656009666
1 3 land DE1 spruce 334.255804008781
1 3 land DE2 beech 399.603301424587
1 3 land DE2 spruce 2103.16604910198
1 3 land DE3_4 beech 0
1 3 land DE3_4 spruce 329.389795908754
1 3 land DE7 beech 799.501041919072
1 3 land DE7 spruce 0
1 3 land DE8 beech 0
1 3 land DE8 spruce 0
1 3 land DE9_5_6 beech 0
1 3 land DE9_5_6 spruce 1590.82909478926
1 3 land DEA beech 398.361893629456
1 3 land DEA spruce 0
1 3 land DEB beech 99.577831689679
1 3 land DEB spruce 99.577831689679
1 3 land DEC beech 0
1 3 land DEC spruce 0
1 3 land DED beech 0
