species vol age owner nuts finalfell nomgmt
spruce 1 1 private DE1 0 1
spruce 2 1 private DE1 0 1
spruce 3 1 private DE1 0 1
spruce 4 1 private DE1 0 1
spruce 5 1 private DE1 0 1
spruce 6 1 private DE1 0 1
spruce 7 1 private DE1 0 1
spruce 8 1 private DE1 0 1
spruce 9 1 private DE1 0 1
spruce 10 1 private DE1 0 1
spruce 1 2 private DE1 0 1
spruce 2 2 private DE1 0 1
spruce 3 2 private DE1 0 1
spruce 4 2 private DE1 0 1
spruce 5 2 private DE1 0 1
spruce 6 2 private DE1 0 1
spruce 7 2 private DE1 0 1
spruce 8 2 private DE1 0 1
spruce 9 2 private DE1 0 1
spruce 10 2 private DE1 0 1
spruce 1 3 private DE1 0 1
spruce 2 3 private DE1 0 1
spruce 3 3 private DE1 0 1
spruce 4 3 private DE1 0 1
spruce 5 3 private DE1 0 1
spruce 6 3 private DE1 0 1
spruce 7 3 private DE1 0 1
spruce 8 3 private DE1 0 1
spruce 9 3 private DE1 0 1
spruce 10 3 private DE1 0 1
spruce 1 4 private DE1 0 1
spruce 2 4 private DE1 0 1
spruce 3 4 private DE1 0 1
spruce 4 4 private DE1 0 1
spruce 5 4 private DE1 0 1
spruce 6 4 private DE1 0 1
spruce 7 4 private DE1 0 1
spruce 8 4 private DE1 0 1
spruce 9 4 private DE1 0 1
spruce 10 4 private DE1 0 1
spruce 1 5 private DE1 0 1
spruce 2 5 private DE1 0 1
spruce 3 5 private DE1 0 1
spruce 4 5 private DE1 0 1
spruce 5 5 private DE1 0 1
spruce 6 5 private DE1 0 1
spruce 7 5 private DE1 0 1
spruce 8 5 private DE1 0 1
spruce 9 5 private DE1 0 1
spruce 10 5 private DE1 0 1
spruce 1 6 private DE1 0 1
spruce 2 6 private DE1 0 1
spruce 3 6 private DE1 0 1
spruce 4 6 private DE1 0 1
spruce 5 6 private DE1 0 1
spruce 6 6 private DE1 0 1
spruce 7 6 private DE1 0 1
spruce 8 6 private DE1 0 1
spruce 9 6 private DE1 0 1
spruce 10 6 private DE1 0 1
spruce 1 7 private DE1 0.04 0.96
spruce 2 7 private DE1 0.04 0.96
spruce 3 7 private DE1 0.04 0.96
spruce 4 7 private DE1 0.04 0.96
spruce 5 7 private DE1 0.04 0.96
spruce 6 7 private DE1 0.04 0.96
spruce 7 7 private DE1 0.04 0.96
spruce 8 7 private DE1 0.04 0.96
spruce 9 7 private DE1 0.04 0.96
spruce 10 7 private DE1 0.04 0.96
spruce 1 8 private DE1 0.12 0.88
spruce 2 8 private DE1 0.12 0.88
spruce 3 8 private DE1 0.12 0.88
spruce 4 8 private DE1 0.12 0.88
spruce 5 8 private DE1 0.12 0.88
spruce 6 8 private DE1 0.12 0.88
spruce 7 8 private DE1 0.12 0.88
spruce 8 8 private DE1 0.12 0.88
spruce 9 8 private DE1 0.12 0.88
spruce 10 8 private DE1 0.12 0.88
spruce 1 9 private DE1 0.2 0.8
spruce 2 9 private DE1 0.2 0.8
spruce 3 9 private DE1 0.2 0.8
spruce 4 9 private DE1 0.2 0.8
spruce 5 9 private DE1 0.2 0.8
spruce 6 9 private DE1 0.2 0.8
spruce 7 9 private DE1 0.2 0.8
spruce 8 9 private DE1 0.2 0.8
spruce 9 9 private DE1 0.2 0.8
spruce 10 9 private DE1 0.2 0.8
spruce 1 10 private DE1 0.29 0.71
spruce 2 10 private DE1 0.29 0.71
spruce 3 10 private DE1 0.29 0.71
spruce 4 10 private DE1 0.29 0.71
spruce 5 10 private DE1 0.29 0.71
spruce 6 10 private DE1 0.29 0.71
spruce 7 10 private DE1 0.29 0.71
spruce 8 10 private DE1 0.29 0.71
