"vol" "age" "owner" "nuts" "species" "step0.nomgmt" "step0.finalfell" "step1.nomgmt" "step1.finalfell" "step2.nomgmt" "step2.finalfell" "step3.nomgmt" "step3.finalfell" "step4.nomgmt" "step4.finalfell" "step5.nomgmt" "step5.finalfell"
"1" "1" "1" "communal" "DE1" "beech" 7467.20969595574 0 4398.6726837481 0 4962.79502633229 0 5857.35417535516 0 7151.2722902565 0 7528.39985212282 0
"3745" "2" "1" "communal" "DE1" "beech" 1086.30670981189 0 0 0 0 0 0 0 0 0 0 0
"5617" "3" "1" "communal" "DE1" "beech" 185.389579410056 0 0 0 0 0 0 0 0 0 0 0
"7489" "4" "1" "communal" "DE1" "beech" 8.49242688601374 0 0 0 0 0 0 0 0 0 0 0
"9361" "5" "1" "communal" "DE1" "beech" 0 0 0 0 0 0 0 0 0 0 0 0
"11233" "6" "1" "communal" "DE1" "beech" 0 0 0 0 0 0 0 0 0 0 0 0
"13105" "7" "1" "communal" "DE1" "beech" 0 0 0 0 0 0 0 0 0 0 0 0
"14977" "8" "1" "communal" "DE1" "beech" 0 0 0 0 0 0 0 0 0 0 0 0
"16849" "9" "1" "communal" "DE1" "beech" 0 0 0 0 0 0 0 0 0 0 0 0
"1873" "10" "1" "communal" "DE1" "beech" 0 0 2212.08754929707 0 1429.7002585064 0 2084.14457422058 0 561.270782839663 0 596.800072346313 0
"1041" "1" "2" "communal" "DE1" "beech" 364.54100742841 0 7467.20969595574 0 4398.6726837481 0 4962.79502633229 0 5857.35417535516 0 7151.2722902565 0
"4785" "2" "2" "communal" "DE1" "beech" 1317.84306862641 0 1086.30670981189 0 0 0 0 0 0 0 0 0
"6657" "3" "2" "communal" "DE1" "beech" 1708.12243033491 0 411.591530867488 0 341.838107144897 0 379.522508300902 0 271.026674428102 0 288.406107892129 0
"8529" "4" "2" "communal" "DE1" "beech" 316.014933646704 0 25.4934424790876 0 348.246550842779 0 205.13989197749 0 231.448736654062 0 273.168087101765 0
"10401" "5" "2" "communal" "DE1" "beech" 38.0717070102334 0 0 0 0 0 0 0 0 0 0 0
"12273" "6" "2" "communal" "DE1" "beech" 10.7124430464844 0 0 0 0 0 0 0 0 0 0 0
"14145" "7" "2" "communal" "DE1" "beech" 13.1068366898458 0 0 0 0 0 0 0 0 0 0 0
"16017" "8" "2" "communal" "DE1" "beech" 0 0 0 0 0 0 0 0 0 0 0 0
"17889" "9" "2" "communal" "DE1" "beech" 0 0 0 0 0 0 0 0 0 0 0 0
"2913" "10" "2" "communal" "DE1" "beech" 0 0 0 0 2212.08754929707 0 1429.7002585064 0 2084.14457422058 0 561.270782839663 0
"1145" "1" "3" "communal" "DE1" "beech" 200.048277251696 0 193.357769886339 0 1283.74927912484 0 1893.63030199877 0 1951.0290469655 0 2077.24518891828 0
"4889" "2" "3" "communal" "DE1" "beech" 778.139827840293 0 108.93623660011 0 1610.96761438114 0 1123.62270737493 0 1334.52592641135 0 1532.47923007207 0
"6761" "3" "3" "communal" "DE1" "beech" 2238.06740652663 0 2923.45679206299 0 3221.52272387206 0 2362.14528231233 0 2403.01439772485 0 2505.2065503227 0
"8633" "4" "3" "communal" "DE1" "beech" 1323.41256197382 0 804.210450091117 0 460.163833229009 0 611.275190975778 0 426.133326916524 0 506.046942644963 0
"10505" "5" "3" "communal" "DE1" "beech" 472.547900979469 0 352.238600109296 0 25.3443580201455 0 346.210021305687 0 203.940243486393 0 230.09523527012 0
"12377" "6" "3" "communal" "DE1" "beech" 136.668334516154 0 10.7124430464844 0 0 0 0 0 0 0 0 0
"14249" "7" "3" "communal" "DE1" "beech" 0 0 13.1068366898458 0 0 0 0 0 0 0 0 0
"16121" "8" "3" "communal" "DE1" "beech" 0 0 0 0 0 0 0 0 0 0 0 0
"17993" "9" "3" "communal" "DE1" "beech" 22.8467002413804 0 0 0 0 0 0 0 0 0 0 0
"3017" "10" "3" "communal" "DE1" "beech" 2.35744251004239 0 0 0 0 0 2212.08754929707 0 1429.7002585064 0 2084.14457422058 0
"1249" "1" "4" "communal" "DE1" "beech" 200.048289175503 0 1889.00320407873 0 4211.24014018501 0 3007.35367586567 0 3200.19854334151 0 3625.21529412747 0
"4993" "2" "4" "communal" "DE1" "beech" 570.134018987072 0 441.686060249645 0 135.543409541398 0 781.985607619795 0 611.420887389598 0 706.479420517541 0
"6865" "3" "4" "communal" "DE1" "beech" 2357.95701636178 0 358.990902211092 0 418.128457912093 0 428.142495823535 0 412.030448423561 0 391.014393582194 0
"8737" "4" "4" "communal" "DE1" "beech" 2108.12290466286 0 618.435113440572 0 790.382549410747 0 862.928811570183 0 637.900108355546 0 645.244069274924 0
"10609" "5" "4" "communal" "DE1" "beech" 1964.38981646988 0 417.582143419167 0 368.862286227228 0 681.545125347724 0 495.025069339227 0 536.996332183664 0
"12481" "6" "4" "communal" "DE1" "beech" 702.489496038604 0 1898.74275099863 0 1145.34169984689 0 476.347659338793 0 939.419453559173 0 618.185389829277 0
"14353" "7" "4" "communal" "DE1" "beech" 269.614682419904 0 0 0 0.247298805468789 0 0 0 0 0 0 0
"16225" "8" "4" "communal" "DE1" "beech" 91.4857000035082 0 0 0 0 0 0 0 0 0 0 0
"18097" "9" "4" "communal" "DE1" "beech" 11.8891685542731 0 22.8467002413804 0 0 0 0 0 0 0 0 0
"3121" "10" "4" "communal" "DE1" "beech" 11.1718743250545 0 2.35744251004239 0 12.859537884377 0 0 0 2212.08754929707 0 1429.7002585064 0
"1353" "1" "5" "communal" "DE1" "beech" 100.024144587751 0 119.796989897149 0 1224.22907346007 0 1735.74422974389 0 1720.51572858391 0 1855.46546905763 0
"5097" "2" "5" "communal" "DE1" "beech" 525.674508979599 0 373.271352610916 0 582.790901898327 0 800.730219148413 0 679.506202234377 0 675.394448642108 0
"6969" "3" "5" "communal" "DE1" "beech" 1507.21723414562 0 388.84595509321 0 144.317177227211 0 74.4535384767315 0 147.957451627576 0 135.427497910266 0
"8841" "4" "5" "communal" "DE1" "beech" 3344.7158862627 0 5040.23179729005 0 1294.51566383174 0 1399.66695169926 0 1857.90512680168 0 1544.23784826389 0
"10713" "5" "5" "communal" "DE1" "beech" 2954.12449007059 0 1964.38981646988 0 417.582143419167 0 368.862286227228 0 681.545125347724 0 495.025069339227 0
"12585" "6" "5" "communal" "DE1" "beech" 1433.87813786531 0 702.489496038604 0 1898.74275099863 0 1145.34169984689 0 476.347659338793 0 939.419453559173 0
"14457" "7" "5" "communal" "DE1" "beech" 934.988995164192 0 269.614682419904 0 0 0 0.247298805468789 0 0 0 0 0
"16329" "8" "5" "communal" "DE1" "beech" 157.030675243504 0 91.4857000035082 0 0 0 0 0 0 0 0 0
"18201" "9" "5" "communal" "DE1" "beech" 32.3305015234653 0 11.8891685542731 0 22.8467002413804 0 0 0 0 0 0 0
"3225" "10" "5" "communal" "DE1" "beech" 118.313784066573 0 11.1718743250545 0 2.35744251004239 0 12.859537884377 0 0 0 2212.08754929707 0
"1457" "1" "6" "communal" "DE1" "beech" 0 0 0.211467536126323 0 0.253270591748729 0 2.58822214262171 0 3.66964953434226 0 3.63745397163618 0
"5201" "2" "6" "communal" "DE1" "beech" 457.859232648396 0 618.862055351528 0 644.453614994486 0 735.454080805575 0 816.028452742508 0 762.220741716348 0
"7073" "3" "6" "communal" "DE1" "beech" 1266.23191690417 0 641.214946589697 0 1566.99143418176 0 2071.71663158107 0 2112.12036072353 0 2268.76134405757 0
"8945" "4" "6" "communal" "DE1" "beech" 2232.64981652123 0 1377.23595316699 0 2075.38956359002 0 533.035861577777 0 576.333450699693 0 765.019758094807 0
"10817" "5" "6" "communal" "DE1" "beech" 2374.76858442452 0 3555.94188137045 0 2871.28273501342 0 650.505377049792 0 620.70547476827 0 1015.83947342277 0
"12689" "6" "6" "communal" "DE1" "beech" 1732.98492657275 0 1433.87813786531 0 702.489496038604 0 1898.74275099863 0 1145.34169984689 0 476.347659338793 0
"14561" "7" "6" "communal" "DE1" "beech" 629.048284273306 0 17.6413017955508 0 5.08706947962083 0 0 0 0.00466601519752431 0 0 0
"16433" "8" "6" "communal" "DE1" "beech" 210.540330333726 0 278.920715952014 0 122.932029186785 0 11.6710625440357 0 6.02112597323489 0 11.965454875014 0
"18305" "9" "6" "communal" "DE1" "beech" 135.196139301311 0 949.678194892106 0 276.416781494556 0 22.8467002413804 0 0.242632790271264 0 0 0
"3329" "10" "6" "communal" "DE1" "beech" 93.9844787540317 0 118.313784066573 0 11.1718743250545 0 2.35744251004239 0 12.859537884377 0 0 0
"1561" "1" "7" "communal" "DE1" "beech" 100.024144587751 0 0 0 0.211467536126323 0 0.253270591748729 0 2.58822214262171 0 3.66964953434226 0
"5305" "2" "7" "communal" "DE1" "beech" 650.616298531409 0 457.940619783652 0 365.775390838526 0 299.294941111126 0 308.609589382522 0 343.265608667073 0
"7177" "3" "7" "communal" "DE1" "beech" 1261.40002505437 0 1361.86425033639 0 753.915589005617 0 1693.8826250163 0 2223.1861847415 0 2269.92446079482 0
"9049" "4" "7" "communal" "DE1" "beech" 1440.62520480129 0 42.1254682362496 0 25.9855840220188 0 39.1582936526419 0 10.0572804071279 0 10.8742160509376 0
"10921" "5" "7" "communal" "DE1" "beech" 2549.92548485945 0 44.8069544231042 0 67.0932430447255 0 54.1751459436494 0 12.27368635943 0 11.7114240522315 0
"12793" "6" "7" "communal" "DE1" "beech" 2017.70287704342 0 2867.08561309122 0 3933.26700854129 0 3034.83825158466 0 1226.73090591216 0 963.982998621799 0
"14665" "7" "7" "communal" "DE1" "beech" 1132.32482761032 0 629.048284273306 0 17.6413017955508 0 5.08706947962083 0 0 0 0.00466601519752431 0
"16537" "8" "7" "communal" "DE1" "beech" 717.017988141178 0 210.540330333726 0 278.920715952014 0 122.932029186785 0 11.6710625440357 0 6.02112597323489 0
"18409" "9" "7" "communal" "DE1" "beech" 425.330700534717 0 135.196139301311 0 949.678194892106 0 276.416781494556 0 22.8467002413804 0 0.242632790271264 0
"3433" "10" "7" "communal" "DE1" "beech" 325.712867875408 0 1289.84542223698 0 1107.77355171632 0 495.930707848769 0 1312.60097828687 0 803.212289825505 0
