"vol" "age" "owner" "nuts" "species" "step0" "step1" "step2" "step3" "step4" "step5"
"1" "1" "1" "communal" "DE1" "beech" 7467.20969595574 4398.6726837481 4962.79502633229 5857.35417535516 7151.2722902565 7528.39985212282
"3745" "2" "1" "communal" "DE1" "beech" 1086.30670981189 0 0 0 0 0
"5617" "3" "1" "communal" "DE1" "beech" 185.389579410056 0 0 0 0 0
"7489" "4" "1" "communal" "DE1" "beech" 8.49242688601374 0 0 0 0 0
"9361" "5" "1" "communal" "DE1" "beech" 0 0 0 0 0 0
"11233" "6" "1" "communal" "DE1" "beech" 0 0 0 0 0 0
"13105" "7" "1" "communal" "DE1" "beech" 0 0 0 0 0 0
"14977" "8" "1" "communal" "DE1" "beech" 0 0 0 0 0 0
"16849" "9" "1" "communal" "DE1" "beech" 0 0 0 0 0 0
"1873" "10" "1" "communal" "DE1" "beech" 0 2212.08754929707 1429.7002585064 2084.14457422058 561.270782839663 596.800072346313
"1041" "1" "2" "communal" "DE1" "beech" 364.54100742841 7467.20969595574 4398.6726837481 4962.79502633229 5857.35417535516 7151.2722902565
"4785" "2" "2" "communal" "DE1" "beech" 1317.84306862641 1086.30670981189 0 0 0 0
"6657" "3" "2" "communal" "DE1" "beech" 1708.12243033491 411.591530867488 341.838107144897 379.522508300902 271.026674428102 288.406107892129
"8529" "4" "2" "communal" "DE1" "beech" 316.014933646704 25.4934424790876 348.246550842779 205.13989197749 231.448736654062 273.168087101765
"10401" "5" "2" "communal" "DE1" "beech" 38.0717070102334 0 0 0 0 0
"12273" "6" "2" "communal" "DE1" "beech" 10.7124430464844 0 0 0 0 0
"14145" "7" "2" "communal" "DE1" "beech" 13.1068366898458 0 0 0 0 0
"16017" "8" "2" "communal" "DE1" "beech" 0 0 0 0 0 0
"17889" "9" "2" "communal" "DE1" "beech" 0 0 0 0 0 0
"2913" "10" "2" "communal" "DE1" "beech" 0 0 2212.08754929707 1429.7002585064 2084.14457422058 561.270782839663
"1145" "1" "3" "communal" "DE1" "beech" 200.048277251696 193.357769886339 1283.74927912484 1893.63030199877 1951.0290469655 2077.24518891828
"4889" "2" "3" "communal" "DE1" "beech" 778.139827840293 108.93623660011 1610.96761438114 1123.62270737493 1334.52592641135 1532.47923007207
"6761" "3" "3" "communal" "DE1" "beech" 2238.06740652663 2923.45679206299 3221.52272387206 2362.14528231233 2403.01439772485 2505.2065503227
"8633" "4" "3" "communal" "DE1" "beech" 1323.41256197382 804.210450091117 460.163833229009 611.275190975778 426.133326916524 506.046942644963
"10505" "5" "3" "communal" "DE1" "beech" 472.547900979469 352.238600109296 25.3443580201455 346.210021305687 203.940243486393 230.09523527012
"12377" "6" "3" "communal" "DE1" "beech" 136.668334516154 10.7124430464844 0 0 0 0
"14249" "7" "3" "communal" "DE1" "beech" 0 13.1068366898458 0 0 0 0
"16121" "8" "3" "communal" "DE1" "beech" 0 0 0 0 0 0
"17993" "9" "3" "communal" "DE1" "beech" 22.8467002413804 0 0 0 0 0
"3017" "10" "3" "communal" "DE1" "beech" 2.35744251004239 0 0 2212.08754929707 1429.7002585064 2084.14457422058
"1249" "1" "4" "communal" "DE1" "beech" 200.048289175503 1889.00320407873 4211.24014018501 3007.35367586567 3200.19854334151 3625.21529412747
"4993" "2" "4" "communal" "DE1" "beech" 570.134018987072 441.686060249645 135.543409541398 781.985607619795 611.420887389598 706.479420517541
"6865" "3" "4" "communal" "DE1" "beech" 2357.95701636178 358.990902211092 418.128457912093 428.142495823535 412.030448423561 391.014393582194
"8737" "4" "4" "communal" "DE1" "beech" 2108.12290466286 618.435113440572 790.382549410747 862.928811570183 637.900108355546 645.244069274924
"10609" "5" "4" "communal" "DE1" "beech" 1964.38981646988 417.582143419167 368.862286227228 681.545125347724 495.025069339227 536.996332183664
"12481" "6" "4" "communal" "DE1" "beech" 702.489496038604 1898.74275099863 1145.34169984689 476.347659338793 939.419453559173 618.185389829277
"14353" "7" "4" "communal" "DE1" "beech" 269.614682419904 0 0.247298805468789 0 0 0
"16225" "8" "4" "communal" "DE1" "beech" 91.4857000035082 0 0 0 0 0
"18097" "9" "4" "communal" "DE1" "beech" 11.8891685542731 22.8467002413804 0 0 0 0
"3121" "10" "4" "communal" "DE1" "beech" 11.1718743250545 2.35744251004239 12.859537884377 0 2212.08754929707 1429.7002585064
"1353" "1" "5" "communal" "DE1" "beech" 100.024144587751 119.796989897149 1224.22907346007 1735.74422974389 1720.51572858391 1855.46546905763
"5097" "2" "5" "communal" "DE1" "beech" 525.674508979599 373.271352610916 582.790901898327 800.730219148413 679.506202234377 675.394448642108
"6969" "3" "5" "communal" "DE1" "beech" 1507.21723414562 388.84595509321 144.317177227211 74.4535384767315 147.957451627576 135.427497910266
"8841" "4" "5" "communal" "DE1" "beech" 3344.7158862627 5040.23179729005 1294.51566383174 1399.66695169926 1857.90512680168 1544.23784826389
"10713" "5" "5" "communal" "DE1" "beech" 2954.12449007059 1964.38981646988 417.582143419167 368.862286227228 681.545125347724 495.025069339227
"12585" "6" "5" "communal" "DE1" "beech" 1433.87813786531 702.489496038604 1898.74275099863 1145.34169984689 476.347659338793 939.419453559173
"14457" "7" "5" "communal" "DE1" "beech" 934.988995164192 269.614682419904 0 0.247298805468789 0 0
"16329" "8" "5" "communal" "DE1" "beech" 157.030675243504 91.4857000035082 0 0 0 0
"18201" "9" "5" "communal" "DE1" "beech" 32.3305015234653 11.8891685542731 22.8467002413804 0 0 0
"3225" "10" "5" "communal" "DE1" "beech" 118.313784066573 11.1718743250545 2.35744251004239 12.859537884377 0 2212.08754929707
"1457" "1" "6" "communal" "DE1" "beech" 0 0.211467536126323 0.253270591748729 2.58822214262171 3.66964953434226 3.63745397163618
"5201" "2" "6" "communal" "DE1" "beech" 457.859232648396 618.862055351528 644.453614994486 735.454080805575 816.028452742508 762.220741716348
"7073" "3" "6" "communal" "DE1" "beech" 1266.23191690417 641.214946589697 1566.99143418176 2071.71663158107 2112.12036072353 2268.76134405757
