species vol age siteclass finalfell thin nomgmt
BT 1 1 SE11 0 0 1
BT 2 1 SE11 0 0 1
BT 3 1 SE11 0 0 1
BT 4 1 SE11 0 0 1
BT 5 1 SE11 0 0 1
BT 6 1 SE11 0 0 1
BT 7 1 SE11 0 0 1
BT 8 1 SE11 0 0 1
BT 9 1 SE11 0 0 1
BT 10 1 SE11 0 0 1
BT 11 1 SE11 0 0 1
BT 12 1 SE11 0 0 1
BT 13 1 SE11 0 0 1
BT 14 1 SE11 0 0 1
BT 15 1 SE11 0 0 1
BT 16 1 SE11 0 0 1
BT 17 1 SE11 0 0 1
BT 1 2 SE11 0 0 1
BT 2 2 SE11 0 0 1
BT 3 2 SE11 0 0 1
BT 4 2 SE11 0 0 1
BT 5 2 SE11 0 0 1
BT 6 2 SE11 0 0 1
BT 7 2 SE11 0 0 1
BT 8 2 SE11 0 0 1
BT 9 2 SE11 0 0 1
BT 10 2 SE11 0 0 1
BT 11 2 SE11 0 0 1
BT 12 2 SE11 0 0 1
BT 13 2 SE11 0 0 1
BT 14 2 SE11 0 0 1
BT 15 2 SE11 0 0 1
BT 16 2 SE11 0 0 1
BT 17 2 SE11 0 0 1
BT 1 3 SE11 0 0 1
BT 2 3 SE11 0 0 1
BT 3 3 SE11 0 0 1
BT 4 3 SE11 0 0 1
BT 5 3 SE11 0 0 1
BT 6 3 SE11 0 0 1
BT 7 3 SE11 0 0 1
BT 8 3 SE11 0 0 1
BT 9 3 SE11 0 0 1
BT 10 3 SE11 0 0 1
BT 11 3 SE11 0 0 1
BT 12 3 SE11 0 0 1
BT 13 3 SE11 0 0 1
BT 14 3 SE11 0 0 1
BT 15 3 SE11 0 0 1
BT 16 3 SE11 0 0 1
BT 17 3 SE11 0 0 1
BT 1 4 SE11 0 0 1
BT 2 4 SE11 0 0 1
BT 3 4 SE11 0 0 1
BT 4 4 SE11 0 0 1
BT 5 4 SE11 0 0 1
BT 6 4 SE11 0 0 1
BT 7 4 SE11 0 0 1
BT 8 4 SE11 0 0 1
BT 9 4 SE11 0 0 1
BT 10 4 SE11 0 0 1
BT 11 4 SE11 0 0 1
BT 12 4 SE11 0 0 1
BT 13 4 SE11 0 0 1
BT 14 4 SE11 0 0 1
BT 15 4 SE11 0 0 1
BT 16 4 SE11 0 0 1
BT 17 4 SE11 0 0 1
BT 1 5 SE11 0 0 1
BT 2 5 SE11 0 0 1
BT 3 5 SE11 0 0 1
BT 4 5 SE11 0 0 1
BT 5 5 SE11 0 0 1
BT 6 5 SE11 0 0 1
BT 7 5 SE11 0 0 1
BT 8 5 SE11 0 0 1
BT 9 5 SE11 0 0 1
BT 10 5 SE11 0 0 1
BT 11 5 SE11 0 0 1
BT 12 5 SE11 0 0 1
BT 13 5 SE11 0 0 1
BT 14 5 SE11 0 0 1
BT 15 5 SE11 0 0 1
BT 16 5 SE11 0 0 1
BT 17 5 SE11 0 0 1
BT 1 6 SE11 0 0 1
BT 2 6 SE11 0 0 1
BT 3 6 SE11 0 0 1
BT 4 6 SE11 0 0 1
BT 5 6 SE11 0 0 1
BT 6 6 SE11 0 0 1
BT 7 6 SE11 0 0 1
BT 8 6 SE11 0 0 1
BT 9 6 SE11 0 0 1
BT 10 6 SE11 0 0 1
BT 11 6 SE11 0 0 1
BT 12 6 SE11 0 0 1
BT 13 6 SE11 0 0 1
BT 14 6 SE11 0 0 1
BT 15 6 SE11 0 0 1
BT 16 6 SE11 0 0 1
BT 17 6 SE11 0 0 1
BT 1 7 SE11 0 0 1
BT 2 7 SE11 0 0 1
BT 3 7 SE11 0 0 1
BT 4 7 SE11 0 0 1
BT 5 7 SE11 0 0 1
BT 6 7 SE11 0 0 1
BT 7 7 SE11 0 0 1
BT 8 7 SE11 0 0 1
BT 9 7 SE11 0 0 1
BT 10 7 SE11 0 0 1
BT 11 7 SE11 0 0 1
BT 12 7 SE11 0 0 1
BT 13 7 SE11 0 0 1
BT 14 7 SE11 0 0 1
BT 15 7 SE11 0 0 1
BT 16 7 SE11 0 0 1
BT 17 7 SE11 0 0 1
BT 1 8 SE11 0 0.04 0.96
BT 2 8 SE11 0 0.06 0.94
BT 3 8 SE11 0 0.08 0.92
BT 4 8 SE11 0 0.1 0.9
BT 5 8 SE11 0 0.12 0.88
BT 6 8 SE11 0 0.14 0.86
BT 7 8 SE11 0 0.16 0.84
BT 8 8 SE11 0 0.18 0.82
BT 9 8 SE11 0 0.2 0.8
BT 10 8 SE11 0 0.22 0.78
BT 11 8 SE11 0 0.24 0.76
BT 12 8 SE11 0 0.26 0.74
BT 13 8 SE11 0 0.28 0.72
BT 14 8 SE11 0 0.3 0.7
BT 15 8 SE11 0 0.32 0.68
BT 16 8 SE11 0 0.34 0.66
BT 17 8 SE11 0 0.36 0.64
BT 1 9 SE11 0 0.06 0.94
BT 2 9 SE11 0 0.08 0.92
BT 3 9 SE11 0 0.1 0.9
BT 4 9 SE11 0 0.12 0.88
BT 5 9 SE11 0 0.14 0.86
BT 6 9 SE11 0 0.16 0.84
BT 7 9 SE11 0 0.18 0.82
BT 8 9 SE11 0 0.2 0.8
BT 9 9 SE11 0 0.22 0.78
BT 10 9 SE11 0 0.24 0.76
