vol species drain.nomgmt drain.thin drain.finalfell
1 BT 0 0.5 1
2 BT 0 2 4
3 BT 0 5 10
4 BT 0 10 20
5 BT 0 15.25 30.5
6 BT 0 19 38
7 BT 0 24 48
8 BT 0 31.5 63
9 BT 0 38.75 77.5
10 BT 0 46.25 92.5
11 BT 0 55 110
12 BT 0 65 130
13 BT 0 76.25 152.5
14 BT 0 84.75 169.5
15 BT 0 90 180
16 BT 0 95 190
17 BT 0 100 200
1 OB 0 0.5 1
2 OB 0 2 4
3 OB 0 5 10
4 OB 0 10 20
5 OB 0 15.25 30.5
6 OB 0 19 38
7 OB 0 24 48
8 OB 0 31.5 63
9 OB 0 38.75 77.5
10 OB 0 46.25 92.5
11 OB 0 55 110
12 OB 0 65 130
13 OB 0 76.25 152.5
14 OB 0 84.75 169.5
15 OB 0 90 180
16 OB 0 95 190
17 OB 0 100 200
1 PA 0 0.5 1
2 PA 0 2 4
3 PA 0 5 10
4 PA 0 10 20
5 PA 0 15.25 30.5
6 PA 0 19 38
7 PA 0 24 48
8 PA 0 31.5 63
9 PA 0 38.75 77.5
10 PA 0 46.25 92.5
11 PA 0 55 110
12 PA 0 65 130
13 PA 0 76.25 152.5
14 PA 0 84.75 169.5
15 PA 0 90 180
16 PA 0 95 190
17 PA 0 100 200
1 PS 0 0.5 1
2 PS 0 2 4
3 PS 0 5 10
4 PS 0 10 20
5 PS 0 15.25 30.5
6 PS 0 19 38
7 PS 0 24 48
8 PS 0 31.5 63
9 PS 0 38.75 77.5
10 PS 0 46.25 92.5
11 PS 0 55 110
12 PS 0 65 130
13 PS 0 76.25 152.5
14 PS 0 84.75 169.5
15 PS 0 90 180
16 PS 0 95 190
17 PS 0 100 200
