vol age siteclass species area
1 1 SE11 BT 1951.96
2 1 SE11 BT 0
3 1 SE11 BT 0
4 1 SE11 BT 0
5 1 SE11 BT 0
6 1 SE11 BT 0
7 1 SE11 BT 0
8 1 SE11 BT 0
9 1 SE11 BT 0
10 1 SE11 BT 0
11 1 SE11 BT 0
12 1 SE11 BT 0
13 1 SE11 BT 0
14 1 SE11 BT 0
15 1 SE11 BT 0
16 1 SE11 BT 0
17 1 SE11 BT 0
1 2 SE11 BT 0
2 2 SE11 BT 0
3 2 SE11 BT 1951.96
4 2 SE11 BT 0
5 2 SE11 BT 0
6 2 SE11 BT 0
7 2 SE11 BT 0
8 2 SE11 BT 0
9 2 SE11 BT 0
10 2 SE11 BT 0
11 2 SE11 BT 0
12 2 SE11 BT 0
13 2 SE11 BT 0
14 2 SE11 BT 0
15 2 SE11 BT 0
16 2 SE11 BT 0
17 2 SE11 BT 0
1 3 SE11 BT 0
2 3 SE11 BT 0
3 3 SE11 BT 0
4 3 SE11 BT 2846.35
5 3 SE11 BT 0
6 3 SE11 BT 0
7 3 SE11 BT 0
8 3 SE11 BT 0
9 3 SE11 BT 0
10 3 SE11 BT 0
11 3 SE11 BT 0
12 3 SE11 BT 0
13 3 SE11 BT 0
14 3 SE11 BT 0
15 3 SE11 BT 0
16 3 SE11 BT 0
17 3 SE11 BT 0
1 4 SE11 BT 0
2 4 SE11 BT 0
3 4 SE11 BT 0
4 4 SE11 BT 0
5 4 SE11 BT 2846.35
6 4 SE11 BT 0
7 4 SE11 BT 0
8 4 SE11 BT 0
9 4 SE11 BT 0
10 4 SE11 BT 0
11 4 SE11 BT 0
12 4 SE11 BT 0
13 4 SE11 BT 0
14 4 SE11 BT 0
15 4 SE11 BT 0
16 4 SE11 BT 0
17 4 SE11 BT 0
1 5 SE11 BT 0
2 5 SE11 BT 0
3 5 SE11 BT 0
4 5 SE11 BT 0
5 5 SE11 BT 0
6 5 SE11 BT 0
7 5 SE11 BT 2000.59
8 5 SE11 BT 0
9 5 SE11 BT 0
10 5 SE11 BT 0
11 5 SE11 BT 0
12 5 SE11 BT 0
13 5 SE11 BT 0
14 5 SE11 BT 0
15 5 SE11 BT 0
16 5 SE11 BT 0
17 5 SE11 BT 0
1 6 SE11 BT 0
2 6 SE11 BT 0
3 6 SE11 BT 0
4 6 SE11 BT 0
5 6 SE11 BT 0
6 6 SE11 BT 0
7 6 SE11 BT 0
8 6 SE11 BT 2000.59
9 6 SE11 BT 0
10 6 SE11 BT 0
11 6 SE11 BT 0
12 6 SE11 BT 0
13 6 SE11 BT 0
14 6 SE11 BT 0
15 6 SE11 BT 0
16 6 SE11 BT 0
17 6 SE11 BT 0
1 7 SE11 BT 0
2 7 SE11 BT 0
3 7 SE11 BT 0
4 7 SE11 BT 0
5 7 SE11 BT 0
