species siteclass vol0 vol1 age0 age1
BT SE11 10 10 8 9
BT SE11 1 3 1 2
BT SE11 11 12 10 11
BT SE11 12 13 11 12
BT SE11 13 14 12 13
BT SE11 14 14 13 14
BT SE11 14 14 14 15
BT SE11 14 15 15 16
BT SE11 15 15 16 16
BT SE11 3 4 2 3
BT SE11 4 5 3 4
BT SE11 5 7 4 5
BT SE11 7 8 5 6
BT SE11 8 9 6 7
BT SE11 9 10 7 8
BT SE11 10 10 8 9
BT SE11 10 11 9 1
BT SE11 1 3 1 2
BT SE11 11 12 10 11
BT SE11 12 13 11 12
BT SE11 13 14 12 13
BT SE11 14 14 13 14
BT SE11 14 14 14 15
BT SE11 14 15 15 16
BT SE11 15 15 16 16
BT SE11 3 4 2 3
BT SE11 4 5 3 4
BT SE11 5 7 4 5
BT SE11 7 8 5 6
BT SE11 8 9 6 7
BT SE11 9 10 7 8
BT SE11 10 11 9 1
BT SE12 15 15 16 16
BT SE12 1 3 1 2
BT SE12 11 12 10 11
BT SE12 12 13 11 12
BT SE12 13 14 12 13
BT SE12 14 14 13 14
BT SE12 14 14 14 15
BT SE12 14 15 15 16
BT SE12 15 15 16 16
BT SE12 3 4 2 3
BT SE12 4 5 3 4
BT SE12 5 7 4 5
BT SE12 7 8 5 6
BT SE12 8 9 6 7
BT SE12 9 10 7 8
BT SE12 10 10 8 9
BT SE12 10 11 9 1
BT SE12 1 3 1 2
BT SE12 11 12 10 11
BT SE12 12 13 11 12
BT SE12 13 14 12 13
BT SE12 14 14 13 14
BT SE12 14 14 14 15
BT SE12 14 15 15 16
BT SE12 10 11 9 1
BT SE12 3 4 2 3
BT SE12 4 5 3 4
BT SE12 5 7 4 5
BT SE12 7 8 5 6
BT SE12 8 9 6 7
BT SE12 9 10 7 8
BT SE12 10 10 8 9
BT SE12 10 11 9 1
BT SE12 1 3 1 2
BT SE12 11 12 10 11
BT SE12 12 13 11 12
BT SE12 13 14 12 13
BT SE12 14 14 13 14
BT SE12 14 14 14 15
BT SE12 14 15 15 16
BT SE12 15 15 16 16
BT SE12 3 4 2 3
BT SE12 4 5 3 4
BT SE12 5 7 4 5
BT SE12 7 8 5 6
BT SE12 8 9 6 7
BT SE12 9 10 7 8
BT SE12 10 10 8 9
BT SE12 10 11 9 1
BT SE12 1 3 1 2
BT SE12 11 12 10 11
BT SE12 12 13 11 12
BT SE12 13 14 12 13
BT SE12 14 14 13 14
BT SE12 14 14 14 15
BT SE12 14 15 15 16
BT SE12 15 15 16 16
BT SE12 3 4 2 3
BT SE12 4 5 3 4
BT SE12 5 7 4 5
BT SE12 7 8 5 6
BT SE12 8 9 6 7
BT SE12 9 10 7 8
BT SE12 10 10 8 9
BT SE21 12 13 11 12
BT SE21 13 14 12 13
BT SE21 8 9 6 7
BT SE21 9 10 7 8
BT SE21 7 8 5 6
BT SE21 10 11 9 1
BT SE21 1 3 1 2
BT SE21 11 12 10 11
BT SE21 1 3 1 2
BT SE21 11 12 10 11
BT SE21 12 13 11 12
BT SE21 13 14 12 13
BT SE21 3 4 2 3
BT SE21 4 5 3 4
BT SE21 5 7 4 5
BT SE21 7 8 5 6
BT SE21 8 9 6 7
BT SE21 10 10 8 9
BT SE21 10 10 8 9
BT SE21 10 11 9 1
BT SE21 13 14 12 13
BT SE21 3 4 2 3
BT SE21 4 5 3 4
BT SE21 5 7 4 5
BT SE21 3 4 2 3
BT SE21 4 5 3 4
BT SE21 5 7 4 5
BT SE21 7 8 5 6
BT SE21 8 9 6 7
BT SE21 9 10 7 8
BT SE21 9 10 7 8
BT SE21 10 10 8 9
BT SE21 10 11 9 1
BT SE21 1 3 1 2
BT SE21 11 12 10 11
BT SE21 12 13 11 12
BT SE21 13 14 12 13
BT SE21 3 4 2 3
BT SE21 4 5 3 4
BT SE21 5 7 4 5
BT SE21 8 9 6 7
BT SE21 9 10 7 8
BT SE21 9 10 7 8
BT SE21 10 10 8 9
BT SE21 10 11 9 1
BT SE21 1 3 1 2
BT SE21 11 12 10 11
BT SE21 12 13 11 12
BT SE21 13 14 12 13
BT SE21 3 4 2 3
BT SE21 4 5 3 4
BT SE21 5 7 4 5
BT SE21 7 8 5 6
BT SE21 8 9 6 7
BT SE21 11 12 10 11
BT SE21 10 10 8 9
BT SE21 10 11 9 1
BT SE21 1 3 1 2
BT SE21 12 13 11 12
BT SE21 7 8 5 6
BT SE22 12 13 11 12
BT SE22 4 5 3 4
BT SE22 11 12 10 11
BT SE22 5 7 4 5
BT SE22 13 14 12 13
BT SE22 3 4 2 3
BT SE22 5 7 4 5
BT SE22 10 10 8 9
BT SE22 7 8 5 6
BT SE22 8 9 6 7
BT SE22 9 10 7 8
BT SE22 12 13 11 12
BT SE22 13 14 12 13
BT SE22 3 4 2 3
BT SE22 4 5 3 4
BT SE22 10 10 8 9
BT SE22 7 8 5 6
BT SE22 8 9 6 7
BT SE22 9 10 7 8
BT SE22 11 12 10 11
BT SE22 10 11 9 1
BT SE22 10 11 9 1
BT SE22 1 3 1 2
BT SE22 1 3 1 2
BT SE23 8 9 6 7
BT SE23 9 10 7 8
BT SE23 10 10 8 9
BT SE23 1 3 1 2
BT SE23 11 12 10 11
BT SE23 12 13 11 12
BT SE23 10 11 9 1
BT SE23 3 4 2 3
BT SE23 4 5 3 4
BT SE23 5 7 4 5
BT SE23 13 14 12 13
BT SE23 8 9 6 7
BT SE23 9 10 7 8
BT SE23 10 10 8 9
BT SE23 10 11 9 1
BT SE23 5 7 4 5
BT SE23 7 8 5 6
BT SE23 8 9 6 7
BT SE23 9 10 7 8
BT SE23 10 10 8 9
BT SE23 10 11 9 1
BT SE23 1 3 1 2
BT SE23 11 12 10 11
BT SE23 7 8 5 6
BT SE23 1 3 1 2
BT SE23 11 12 10 11
BT SE23 12 13 11 12
BT SE23 13 14 12 13
BT SE23 3 4 2 3
BT SE23 4 5 3 4
BT SE23 5 7 4 5
BT SE23 7 8 5 6
BT SE23 8 9 6 7
BT SE23 9 10 7 8
BT SE23 10 10 8 9
BT SE23 10 11 9 1
BT SE23 1 3 1 2
BT SE23 11 12 10 11
BT SE23 12 13 11 12
BT SE23 13 14 12 13
BT SE23 3 4 2 3
BT SE23 4 5 3 4
BT SE23 5 7 4 5
BT SE23 7 8 5 6
BT SE23 9 10 7 8
BT SE23 10 10 8 9
BT SE23 10 11 9 1
BT SE23 1 3 1 2
BT SE23 11 12 10 11
BT SE23 12 13 11 12
BT SE23 13 14 12 13
BT SE23 12 13 11 12
BT SE23 13 14 12 13
BT SE23 3 4 2 3
BT SE23 4 5 3 4
BT SE23 7 8 5 6
BT SE23 3 4 2 3
BT SE23 4 5 3 4
BT SE23 8 9 6 7
BT SE23 5 7 4 5
BT SE31 12 13 11 12
BT SE31 11 12 10 11
BT SE31 14 15 15 16
BT SE31 13 14 12 13
BT SE31 14 14 13 14
BT SE31 4 5 3 4
BT SE31 5 7 4 5
BT SE31 15 15 16 16
BT SE31 3 4 2 3
BT SE31 1 3 1 2
BT SE31 7 8 5 6
BT SE31 8 9 6 7
BT SE31 9 10 7 8
BT SE31 10 10 8 9
BT SE31 14 14 14 15
BT SE31 1 3 1 2
BT SE31 11 12 10 11
BT SE31 12 13 11 12
BT SE31 13 14 12 13
BT SE31 14 14 13 14
BT SE31 14 14 14 15
BT SE31 14 15 15 16
BT SE31 15 15 16 16
BT SE31 3 4 2 3
BT SE31 4 5 3 4
BT SE31 5 7 4 5
BT SE31 7 8 5 6
BT SE31 10 11 9 1
BT SE31 9 10 7 8
BT SE31 10 10 8 9
BT SE31 10 11 9 1
BT SE31 1 3 1 2
BT SE31 11 12 10 11
BT SE31 12 13 11 12
BT SE31 7 8 5 6
BT SE31 8 9 6 7
BT SE31 9 10 7 8
BT SE31 10 10 8 9
BT SE31 10 11 9 1
BT SE31 1 3 1 2
BT SE31 8 9 6 7
BT SE31 12 13 11 12
BT SE31 13 14 12 13
BT SE31 14 14 13 14
BT SE31 14 14 14 15
BT SE31 14 15 15 16
BT SE31 15 15 16 16
BT SE31 3 4 2 3
BT SE31 4 5 3 4
BT SE31 5 7 4 5
BT SE31 14 14 14 15
BT SE31 14 15 15 16
BT SE31 15 15 16 16
BT SE31 3 4 2 3
BT SE31 11 12 10 11
BT SE31 4 5 3 4
BT SE31 5 7 4 5
BT SE31 7 8 5 6
BT SE31 8 9 6 7
BT SE31 9 10 7 8
BT SE31 10 10 8 9
BT SE31 13 14 12 13
