"vol" "age" "siteclass" "species" "step0.nomgmt" "step0.finalfell" "step0.thin" "step1.nomgmt" "step1.finalfell" "step1.thin" "step2.nomgmt" "step2.finalfell" "step2.thin" "step3.nomgmt" "step3.finalfell" "step3.thin" "step4.nomgmt" "step4.finalfell" "step4.thin"
"1" "1" "1" "SE11" "BT" 1951.96 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4609" "2" "1" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5121" "3" "1" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5633" "4" "1" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"6145" "5" "1" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"6657" "6" "1" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"7169" "7" "1" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"7681" "8" "1" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"8193" "9" "1" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"513" "10" "1" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1025" "11" "1" "SE11" "BT" 0 0 0 295.768951633987 0 0 551.47957008018 0 0 547.966961353555 0 0 1143.78597446242 0 0
"1537" "12" "1" "SE11" "BT" 0 0 0 0 0 0 12.7322231847134 0 0 12.6511262217534 0 0 26.4070313616207 0 0
"2049" "13" "1" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2561" "14" "1" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3073" "15" "1" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3585" "16" "1" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4097" "17" "1" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"257" "1" "2" "SE11" "BT" 0 0 0 12.4328662420382 0 0 0 0 0 0 0 0 0 0 0
"4865" "2" "2" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5377" "3" "2" "SE11" "BT" 1951.96 0 0 1939.52713375796 0 0 0 0 0 0 0 0 0 0 0
"5889" "4" "2" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"6401" "5" "2" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"6913" "6" "2" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"7425" "7" "2" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"7937" "8" "2" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"8449" "9" "2" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"769" "10" "2" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1281" "11" "2" "SE11" "BT" 0 0 0 0 0 0 295.768951633987 0 0 551.47957008018 0 0 547.966961353555 0 0
"1793" "12" "2" "SE11" "BT" 0 0 0 0 0 0 0 0 0 12.7322231847134 0 0 12.6511262217534 0 0
"2305" "13" "2" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2817" "14" "2" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3329" "15" "2" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3841" "16" "2" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4353" "17" "2" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"289" "1" "3" "SE11" "BT" 0 0 0 0 0 0 12.4328662420382 0 0 0 0 0 0 0 0
"4897" "2" "3" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5409" "3" "3" "SE11" "BT" 0 0 0 11.9752147239264 0 0 11.8989394709077 0 0 0 0 0 0 0 0
"5921" "4" "3" "SE11" "BT" 2846.35 0 0 1939.98478527607 0 0 1927.62819428705 0 0 0 0 0 0 0 0
"6433" "5" "3" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"6945" "6" "3" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"7457" "7" "3" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"7969" "8" "3" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"8481" "9" "3" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"801" "10" "3" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1313" "11" "3" "SE11" "BT" 0 0 0 0 0 0 0 0 0 295.768951633987 0 0 551.47957008018 0 0
"1825" "12" "3" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 12.7322231847134 0 0
"2337" "13" "3" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2849" "14" "3" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3361" "15" "3" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3873" "16" "3" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4385" "17" "3" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
