vol species volume
1 BT 1
2 BT 4
3 BT 10
4 BT 20
5 BT 30.5
6 BT 38
7 BT 48
8 BT 63
9 BT 77.5
10 BT 92.5
11 BT 110
12 BT 130
13 BT 152.5
14 BT 169.5
15 BT 180
16 BT 190
17 BT 200
1 OB 1
2 OB 4
3 OB 10
4 OB 20
5 OB 30.5
6 OB 38
7 OB 48
8 OB 63
9 OB 77.5
10 OB 92.5
11 OB 110
12 OB 130
13 OB 152.5
14 OB 169.5
15 OB 180
16 OB 190
17 OB 200
1 PA 1
2 PA 4
3 PA 10
4 PA 20
5 PA 30.5
6 PA 38
7 PA 48
8 PA 63
9 PA 77.5
10 PA 92.5
11 PA 110
12 PA 130
13 PA 152.5
14 PA 169.5
15 PA 180
16 PA 190
17 PA 200
1 PS 1
2 PS 4
3 PS 10
4 PS 20
5 PS 30.5
6 PS 38
7 PS 48
8 PS 63
9 PS 77.5
10 PS 92.5
11 PS 110
12 PS 130
13 PS 152.5
14 PS 169.5
15 PS 180
16 PS 190
17 PS 200
