species vol age siteclass finalfell thin nomgmt
manty 1 1 I 0 0 1
manty 2 1 I 0 0.111790079079799 0.888209920920201
manty 3 1 I 0 0 1
manty 4 1 I 0 0 1
manty 5 1 I 0 0 1
manty 6 1 I 0 0 1
manty 7 1 I 0 0 1
manty 8 1 I 0 0 1
manty 9 1 I 0 0 1
manty 10 1 I 0 0 1
manty 11 1 I 0 0 1
manty 1 2 I 0 0 1
manty 2 2 I 0 0.111790079079799 0.888209920920201
manty 3 2 I 0 0 1
manty 4 2 I 0 0 1
manty 5 2 I 0 0 1
manty 6 2 I 0 0 1
manty 7 2 I 0 0 1
manty 8 2 I 0 0 1
manty 9 2 I 0 0 1
manty 10 2 I 0 0 1
manty 11 2 I 0 0 1
manty 1 3 I 0 0 1
manty 2 3 I 0.00391497619423697 0.0293905273371392 0.966694496468624
manty 3 3 I 0 0.00584929464388118 0.994150705356119
manty 4 3 I 0 0.0214414702722472 0.978558529727753
manty 5 3 I 0 0.0633074295896649 0.936692570410335
manty 6 3 I 0 0.225043953897246 0.774956046102754
manty 7 3 I 0 0.439946018893387 0.560053981106613
manty 8 3 I 0 0 1
manty 9 3 I 0 0 1
manty 10 3 I 0 0 1
manty 11 3 I 0 0 1
manty 1 4 I 0 0 1
manty 2 4 I 0.00391497619423697 0.0293905273371392 0.966694496468624
manty 3 4 I 0 0.00584929464388118 0.994150705356119
manty 4 4 I 0 0.0214414702722472 0.978558529727753
manty 5 4 I 0 0.0633074295896649 0.936692570410335
manty 6 4 I 0 0.225043953897246 0.774956046102754
manty 7 4 I 0 0.439946018893387 0.560053981106613
manty 8 4 I 0 0 1
manty 9 4 I 0 0 1
manty 10 4 I 0 0 1
manty 11 4 I 0 0 1
manty 1 5 I 0 0 1
manty 2 5 I 0.0289318830242511 0.0382935092724679 0.932774607703281
manty 3 5 I 0.0195877513439663 0.0238201312780302 0.956592117378004
manty 4 5 I 0.00266561657528852 0.0299806136976343 0.967353769727077
manty 5 5 I 0.00575981984322896 0.0984304336259643 0.895809746530807
manty 6 5 I 0 0.3853006810944 0.6146993189056
manty 7 5 I 0 0.729938680581575 0.270061319418425
manty 8 5 I 0 0.907199170124481 0.092800829875519
manty 9 5 I 0 1 0
manty 10 5 I 0 1 0
manty 11 5 I 0 1 0
manty 1 6 I 0 0 1
manty 2 6 I 0.0289318830242511 0.0382935092724679 0.932774607703281
manty 3 6 I 0.0195877513439663 0.0238201312780302 0.956592117378004
manty 4 6 I 0.00266561657528852 0.0299806136976343 0.967353769727077
manty 5 6 I 0.00575981984322896 0.0984304336259643 0.895809746530807
manty 6 6 I 0 0.3853006810944 0.6146993189056
manty 7 6 I 0 0.729938680581575 0.270061319418425
manty 8 6 I 0 0.907199170124481 0.092800829875519
manty 9 6 I 0 1 0
manty 10 6 I 0 1 0
manty 11 6 I 0 1 0
manty 1 7 I 0 0 1
manty 2 7 I 0.0534444326504617 0.0358242224816898 0.910731344867848
manty 3 7 I 0.032572745798951 0.0327063775765877 0.934720876624461
manty 4 7 I 0.00520314567321272 0.0284091753757414 0.966387678951046
manty 5 7 I 0 0.0683937364148516 0.931606263585148
manty 6 7 I 0 0.189511087714681 0.810488912285319
manty 7 7 I 0.001600656868986 0.357255542332069 0.641143800798945
manty 8 7 I 0.00229586481947943 0.615947732997481 0.38175640218304
manty 9 7 I 0 0.815310969274158 0.184689030725842
manty 10 7 I 0 0.958166655366466 0.0418333446335341
manty 11 7 I 0.0595446584938704 0.94045534150613 1.11022302462516e-16
manty 1 8 I 0 0 1
manty 2 8 I 0.0534444326504617 0.0358242224816898 0.910731344867848
manty 3 8 I 0.032572745798951 0.0327063775765877 0.934720876624461
manty 4 8 I 0.00520314567321272 0.0284091753757414 0.966387678951046
manty 5 8 I 0 0.0683937364148516 0.931606263585148
manty 6 8 I 0 0.189511087714681 0.810488912285319
manty 7 8 I 0.001600656868986 0.357255542332069 0.641143800798945
manty 8 8 I 0.00229586481947943 0.615947732997481 0.38175640218304
manty 9 8 I 0 0.815310969274158 0.184689030725842
manty 10 8 I 0 0.958166655366466 0.0418333446335341
manty 11 8 I 0.0595446584938704 0.94045534150613 1.11022302462516e-16
manty 1 9 I 0 0 1
manty 2 9 I 0.0253843922251233 0.0235712213519002 0.951044386422977
manty 3 9 I 0.0221590157428231 0 0.977840984257177
manty 4 9 I 0.0147405792867897 0.0210997011437431 0.964159719569467
manty 5 9 I 0.00534522518670108 0.0807129003191863 0.913941874494113
manty 6 9 I 0.00931497338579033 0.105338270462084 0.885346756152126
manty 7 9 I 0 0.191789769872375 0.808210230127625
manty 8 9 I 0 0.33751016133639 0.66248983866361
manty 9 9 I 0.00443398916452809 0.575121186199031 0.420444824636441
manty 10 9 I 0.0108207558937258 0.817543969065735 0.171635275040539
manty 11 9 I 0 1 0
manty 1 10 I 0 0 1
manty 2 10 I 0.0253843922251233 0.0235712213519002 0.951044386422977
