vol age siteclass species area
1 1 I kuusi 560480.304038895
2 1 I kuusi 19461.239004705
3 1 I kuusi 4479.85353954454
4 1 I kuusi 343.640856688498
5 1 I kuusi 0
6 1 I kuusi 0
7 1 I kuusi 0
8 1 I kuusi 0
9 1 I kuusi 0
10 1 I kuusi 0
11 1 I kuusi 0
1 2 I kuusi 72612.0258410659
2 2 I kuusi 53700.527677708
3 2 I kuusi 21990.9709854897
4 2 I kuusi 4705.45043455457
5 2 I kuusi 876.572563837736
6 2 I kuusi 0
7 2 I kuusi 0
8 2 I kuusi 0
9 2 I kuusi 0
10 2 I kuusi 0
11 2 I kuusi 0
1 3 I kuusi 6188.39596544673
2 3 I kuusi 16170.7839427629
3 3 I kuusi 23137.6006950559
4 3 I kuusi 22151.3183083269
5 3 I kuusi 11484.8255593882
6 3 I kuusi 5650.94154292187
7 3 I kuusi 699.068484534996
8 3 I kuusi 319.255580066606
9 3 I kuusi 0
10 3 I kuusi 0
11 3 I kuusi 0
1 4 I kuusi 1550.36023409918
2 4 I kuusi 2938.00387997061
3 4 I kuusi 10969.5241536856
4 4 I kuusi 17851.5741351718
5 4 I kuusi 28916.0694961516
6 4 I kuusi 25017.1835788229
7 4 I kuusi 10145.1863063643
8 4 I kuusi 3398.15424027348
9 4 I kuusi 707.010144839463
10 4 I kuusi 298.334743624064
11 4 I kuusi 0
1 5 I kuusi 621.226165423274
2 5 I kuusi 1050.72940284283
3 5 I kuusi 2733.46535769018
4 5 I kuusi 8714.7854417705
5 5 I kuusi 16666.8024357734
6 5 I kuusi 31321.2896946845
7 5 I kuusi 25705.2982097301
8 5 I kuusi 16724.7946996383
9 5 I kuusi 7194.29622969052
10 5 I kuusi 1074.27312609224
11 5 I kuusi 0
1 6 I kuusi 0
2 6 I kuusi 1719.12327235646
3 6 I kuusi 2156.87265832073
4 6 I kuusi 4586.46102426926
5 6 I kuusi 15907.0052776287
6 6 I kuusi 25173.0694721923
7 6 I kuusi 48594.7915930176
8 6 I kuusi 34145.0701746186
9 6 I kuusi 25257.3212456989
10 6 I kuusi 10324.4453759847
11 6 I kuusi 1869.02626308155
1 7 I kuusi 0
2 7 I kuusi 0
3 7 I kuusi 400.812966461804
4 7 I kuusi 2270.41857057291
5 7 I kuusi 7521.94575740184
6 7 I kuusi 16026.0353401387
7 7 I kuusi 34342.6474311539
8 7 I kuusi 50887.2581686069
