species siteclass vol0 vol1 age0 age1
manty IV 3 4 8 9
manty II 8 9 16 17
manty III 6 7 9 10
manty I 2 2 2 3
kuusi I 5 8 7 8
kuusi II 7 10 8 9
kuusi I 3 4 2 3
manty IV 3 4 17 18
manty II 6 9 6 7
kuusi I 2 5 1 2
manty II 7 8 5 6
manty IV 2 5 13 14
manty III 9 11 8 9
manty II 2 2 1 2
lehti I 3 5 3 4
kuusi I 5 6 3 4
manty II 4 5 19 20
manty I 8 9 14 15
manty I 8 9 12 13
manty II 4 6 6 7
manty I 9 11 17 18
manty II 1 3 17 18
lehti I 7 9 5 6
kuusi I 7 8 5 6
manty I 8 9 7 8
kuusi I 11 11 17 18
kuusi I 9 10 9 10
kuusi II 6 7 13 14
manty I 11 11 15 16
manty III 9 9 18 19
lehti I 3 7 3 4
manty II 4 5 5 6
kuusi II 7 8 11 12
kuusi II 9 10 5 6
manty I 4 6 5 6
manty II 4 5 3 4
manty II 5 6 8 9
manty III 5 6 6 7
kuusi I 10 11 12 13
manty III 6 6 14 15
manty III 6 6 8 9
manty II 11 11 16 17
manty II 7 8 8 9
manty II 5 7 4 5
kuusi I 8 9 12 13
manty III 6 6 5 6
manty II 8 8 16 17
manty III 2 4 7 8
manty III 2 3 17 18
manty III 7 8 15 16
manty I 9 9 21 22
manty I 5 5 2 3
lehti I 8 8 15 16
manty IV 5 6 20 21
manty I 9 11 7 8
kuusi I 4 4 3 4
manty II 5 8 5 6
kuusi I 7 8 7 8
kuusi I 4 6 5 6
manty I 8 9 8 9
manty I 7 9 7 8
manty III 4 5 8 9
manty IV 4 7 14 15
manty II 8 9 8 9
manty III 4 7 6 7
lehti II 3 3 3 4
manty II 7 8 7 8
manty II 4 5 4 5
manty III 4 5 8 9
manty II 1 1 1 2
kuusi I 8 9 11 12
manty III 8 10 25 25
manty II 9 10 24 25
manty I 3 4 2 3
manty II 4 5 3 4
kuusi I 6 7 4 5
manty II 3 5 8 9
lehti I 5 7 6 7
manty II 9 9 16 17
kuusi I 10 11 17 18
lehti II 6 7 5 6
kuusi I 8 9 12 13
manty I 8 10 14 15
manty I 6 7 3 4
manty I 7 9 5 6
manty I 8 11 22 23
lehti I 4 6 3 4
kuusi I 7 8 3 4
manty III 3 3 4 5
manty I 10 11 18 19
manty II 6 7 9 10
kuusi I 3 6 3 4
kuusi I 8 9 7 8
manty I 7 8 8 9
manty I 5 7 5 6
lehti I 2 3 2 3
manty II 7 8 13 14
manty I 9 10 12 13
kuusi I 10 11 16 17
kuusi II 5 8 8 9
manty III 2 2 3 4
kuusi I 10 11 9 10
kuusi I 9 10 13 14
manty II 8 8 20 21
kuusi I 9 10 14 15
kuusi I 4 5 25 25
manty II 9 11 11 12
manty I 4 8 5 6
kuusi I 8 9 16 17
kuusi I 5 7 12 13
manty II 7 8 11 12
kuusi I 10 11 10 11
manty II 7 8 7 8
manty II 3 4 1 2
manty I 9 10 11 12
kuusi I 8 11 13 14
manty I 8 9 7 8
manty II 8 9 7 8
manty I 4 6 5 6
manty II 9 10 9 10
manty IV 1 2 13 14
kuusi I 7 8 10 11
manty I 9 11 6 7
kuusi I 11 11 13 14
kuusi I 8 9 11 12
manty II 7 7 3 4
kuusi I 6 7 3 4
manty I 9 10 12 13
kuusi I 9 10 7 8
manty I 6 8 5 6
manty II 7 8 8 9
manty II 1 3 4 5
manty I 11 11 24 25
manty III 5 7 12 13
manty II 3 5 7 8
kuusi I 7 9 7 8
manty II 3 5 6 7
manty I 4 6 4 5
manty IV 3 4 14 15
manty I 6 7 15 16
kuusi I 9 9 13 14
manty II 5 6 7 8
kuusi I 1 2 1 2
manty I 8 9 12 13
manty II 5 6 8 9
manty II 1 2 3 4
kuusi I 6 7 7 8
lehti I 4 6 2 3
kuusi II 2 4 2 3
kuusi I 1 3 2 3
kuusi I 10 11 6 7
kuusi I 4 5 3 4
kuusi II 9 11 8 9
kuusi I 9 10 11 12
manty III 4 5 4 5
kuusi I 5 8 5 6
kuusi I 11 11 17 18
kuusi I 1 2 1 2
manty II 7 8 25 25
kuusi I 6 8 7 8
manty I 7 8 5 6
kuusi I 10 11 16 17
lehti I 6 8 4 5
kuusi I 11 11 22 23
manty I 5 8 9 10
manty II 7 8 16 17
kuusi I 6 9 9 10
manty I 6 8 6 7
lehti IV 3 5 7 8
kuusi I 8 8 4 5
manty II 9 10 13 14
manty II 6 7 5 6
kuusi I 9 10 13 14
kuusi I 11 11 13 14
manty III 3 5 2 3
manty I 7 8 5 6
manty III 7 8 6 7
manty II 3 6 3 4
kuusi I 11 11 17 18
manty I 5 6 3 4
manty I 3 6 2 3
kuusi I 9 10 10 11
manty I 5 6 2 3
manty I 3 5 5 6
manty II 11 11 13 14
lehti I 7 8 4 5
manty II 7 8 5 6
manty III 6 8 8 9
manty II 6 7 8 9
manty II 5 5 3 4
manty II 1 2 1 2
kuusi I 10 11 16 17
manty II 6 6 3 4
manty III 6 6 17 18
manty II 9 9 24 25
kuusi I 3 4 2 3
kuusi I 6 9 9 10
manty II 5 6 15 16
manty III 7 8 15 16
kuusi I 6 8 8 9
manty II 9 10 19 20
kuusi II 5 7 8 9
manty I 1 4 1 2
kuusi I 10 11 8 9
manty II 3 7 5 6
lehti I 7 8 4 5
manty I 4 8 6 7
manty II 7 8 6 7
kuusi I 5 7 9 10
manty II 5 6 10 11
manty III 5 8 12 13
kuusi I 5 7 5 6
kuusi I 7 8 5 6
lehti I 6 8 4 5
lehti IV 2 4 2 3
manty II 4 5 5 6
kuusi I 11 11 22 23
kuusi I 4 6 1 2
kuusi I 10 11 16 17
manty I 6 7 5 6
manty I 8 10 16 17
manty II 5 5 2 3
manty II 5 6 23 24
kuusi I 7 8 21 22
kuusi I 8 9 15 16
kuusi I 9 10 17 18
manty I 8 9 18 19
kuusi I 1 1 1 2
manty I 6 8 4 5
manty II 7 8 6 7
manty I 10 11 12 13
kuusi I 7 8 21 22
manty I 10 11 7 8
manty II 5 6 8 9
manty IV 3 5 12 13
manty II 6 7 5 6
manty II 7 8 6 7
manty I 7 8 10 11
manty I 7 8 9 10
kuusi II 4 5 6 7
kuusi II 6 7 9 10
manty II 6 7 5 6
kuusi I 11 11 11 12
lehti I 8 9 9 10
lehti I 3 5 13 14
kuusi I 7 8 8 9
